Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 91,2,1,Robô,,,,,,,,,,,,,,,,
Page 92,2,1,Robô,,,,,,,,,,,,,,,,
Page 93,2,1,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Robô,,,,,,,,,
Page 94,2,1,Franjinha,Zé Luís,Astronauta,,,,,,,,,,,,,,
Page 95,2,1,Franjinha,Zé Luís,,,,,,,,,,,,,,,
Page 96,3,1,Mônica,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,,
Page 97,3,1,,,,,,,,,,,,,,,,,
Page 98,3,1,Cebolinha,Franjinha,Zé Luís,Xabéu,Astronauta,,,,,,,,,,,,
Page 99,3,1,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,,,,,,,,,,
Page 100,3,1,Mônica,Princesa Usagi Mimi,Imperador Usagi,Robô,#1tmj_08 Sombra 21,#1tmj_08 Sombra 22,#1tmj_08 Sombra 23,#1tmj_08 Sombra 24,#1tmj_08 Sombra 25,,,,,,,,
Page 101,3,1,Mônica,Cebolinha,Magali,,,,,,,,,,,,,,
Page 102,3,1,Mônica,Cebolinha,Xabéu,Astronauta,Imperador Usagi,,,,,,,,,,,,
Page 103,3,1,Cascão,Franjinha,Xabéu,Astronauta,Lorde Kamen,,,,,,,,,,,,
Page 104,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,
Page 105,3,1,Mônica,Cebolinha,Cascão,Lorde Kamen,,,,,,,,,,,,,
Page 106,3,1,Mônica,Cebolinha,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,
Page 107,3,1,Mônica,Cebolinha,Franjinha,Xabéu,#1tmj_07 Guerreiro Robô 11,,,,,,,,,,,,
Page 108,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Princesa Usagi Mimi,Imperador Usagi,Robô,Lorde Kamen,,,,,
Page 109,,,,,,,,,,,,,,,,,,,
Page 110,,,,,,,,,,,,,,,,,,,
Page 111,,,,,,,,,,,,,,,,,,,
Page 112,,,,,,,,,,,,,,,,,,,
Page 113,,,,,,,,,,,,,,,,,,,
Page 114,,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,
