Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13
Page 35,2,Mônica,Cebolinha,Magali,Cascão,Óinc 1,Óinc 2,Sombra 4 - 1tmj_02,Sombra 5 - 1tmj_02,Sombra 6 - 1tmj_02,Sombra 7 - 1tmj_02,Sombra 8 - 1tmj_02,,
Page 36,2,Mônica,Cebolinha,Magali,Cascão,Óinc 1,Óinc 2,Sombra 9 - 1tmj_02,Sombra 10 - 1tmj_02,Sombra 11 - 1tmj_02,Sombra 12 - 1tmj_02,Sombra 13 - 1tmj_02,,
Page 37,2,Mônica,Cebolinha,Cascão,Óinc 1,Sombra 9 - 1tmj_02,Sombra 10 - 1tmj_02,Sombra 11 - 1tmj_02,Sombra 12 - 1tmj_02,Sombra 13 - 1tmj_02,,,,
Page 38,2,Mônica,Cebolinha,Magali,Óinc 1,Óinc 2,Óinc 3,,,,,,,
Page 39,2,Mônica,Cebolinha,Magali,Óinc 1,Óinc 2,,,,,,,,
Page 40,2,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 41,2,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 42,3,Mônica,Cascão,,,,,,,,,,,
Page 43,3,Cebolinha,Magali,Cascão,,,,,,,,,,
Page 44,3,Cascão,Minotauro,,,,,,,,,,,
Page 45,3,Mônica,Cebolinha,Magali,Cascão,Minotauro,,,,,,,,
Page 46,3,Cebolinha,Minotauro,,,,,,,,,,,
Page 47,3,Mônica,Magali,Cascão,,,,,,,,,,
Page 48,3,Mônica,Cebolinha,Minotauro,Zarolho,,,,,,,,,
Page 49,3,Mônica,Cebolinha,Cascão,Minotauro,,,,,,,,,
Page 50,3,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 51,3,Mônica,Cebolinha,Gigante de Pedra,,,,,,,,,,
Page 52,3,Mônica,Cebolinha,Magali,Gigante de Pedra,,,,,,,,,
Page 53,3,Mônica,Cebolinha,Magali,Cascão,Gigante de Pedra,,,,,,,,
Page 54,3,Mônica,Cebolinha,Fada da Ilha Sonífera,Duende 1,Duende 2,Duende 3,,,,,,,
Page 55,3,Mônica,Cebolinha,Cascão,Fada da Ilha Sonífera,,,,,,,,,
Page 56,3,Mônica,Cebolinha,Magali,Cascão,Fada da Ilha Sonífera,,,,,,,,
Page 57,3,Mônica,Cebolinha,Magali,Cascão,Fada da Ilha Sonífera,Duende 2,,,,,,,
Page 58,3,Mônica,Cebolinha,Fada da Ilha Sonífera,,,,,,,,,,
Page 59,3,Mônica,Cebolinha,Magali,Cascão,Duende 2,,,,,,,,
Page 60,3,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 61,3,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 62,3,Mônica,Cebolinha,Magali,Cascão,Guerreiro Anão 1,Arqueiro Anão 1,Arqueiro Anão 2,Arqueiro Anão 3,Arqueiro Anão 4,,,,
Page 63,3,Magali,Cascão,Guerreiro Anão 2,Guerreiro Anão 3,Sombra 14 - 1tmj_02,Sombra 15 - 1tmj_02,Sombra 16 - 1tmj_02,Sombra 17 - 1tmj_02,Sombra 18 - 1tmj_02,Sombra 19 - 1tmj_02,Sombra 20 - 1tmj_02,,
Page 64,3,Magali,Cascão,Mingau,Guerreiro Anão 4,,,,,,,,,
Page 65,3,Magali,Cascão,Mingau,,,,,,,,,,
Page 66,3,Magali,Cascão,Mingau,Guerreiro Anão 5,Guerreiro Anão 6,,,,,,,,
Page 67,3,Mônica,Cebolinha,Magali,Cascão,Guerreiro Anão 7,,,,,,,,
Page 68,3,Mônica,Cebolinha,Magali,Cascão,Guerreiro Anão 8,Guerreiro Anão 9,Guerreiro Anão 10,,,,,,
Page 69,3,Mônica,Cebolinha,Magali,Cascão,Mingau,Guerreiro Anão 10,,,,,,,
Page 70,3,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 71,4,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,,,,,
Page 72,4,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,,,,,
Page 73,4,Capitão Feio,Yuka,,,,,,,,,,,
Page 74,4,Mônica,Cebolinha,Magali,,,,,,,,,,
Page 75,4,Mônica,Cebolinha,Magali,Arkanum,,,,,,,,,
Page 76,4,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 77,4,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 78,4,Mônica,Cebolinha,Cascão,Capitão Feio,Guarda Anão 1,Guarda Anão 2,Guarda Anão 3,Guarda Anão 4,Guarda Anão 5,,,,
Page 79,4,Magali,Cascão,Capitão Feio,Guarda Anão 3,Guarda Anão 4,,,,,,,,
Page 80,4,Mônica,Cebolinha,Cascão,Capitão Feio,,,,,,,,,
Page 81,4,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Guarda Anão 3,Guarda Anão 4,,,,,,
Page 82,4,Mônica,Cebolinha,Cascão,Capitão Feio,Guarda Anão 6,,,,,,,,
Page 83,4,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 84,4,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Guarda Anão 2,Guarda Anão 3,,,,,,
Page 85,4,Mônica,Cebolinha,Cascão,Capitão Feio,,,,,,,,,
Page 86,4,Mônica,Cebolinha,Cascão,,,,,,,,,,
Page 87,4,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 88,4,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 89,4,Mônica,Cebolinha,Cascão,General El Osso,Esqueleto 1,Esqueleto 2,Esqueleto 3,Esqueleto 4,Esqueleto 5,Esqueleto 6,Esqueleto 7,Esqueleto 8,Esqueleto 9
Page 90,4,Mônica,Cebolinha,Cascão,General El Osso,Esqueleto 1,,,,,,,,
Page 91,4,Capitão Feio,Yuka,Guarda Anão 3,,,,,,,,,,
Page 92,4,Mônica,Cebolinha,Magali,Cascão,Esqueleto 2,Esqueleto 3,,,,,,,
Page 93,4,Mônica,Cebolinha,Cascão,Arkanum,,,,,,,,,
Page 94,4,Mônica,Cebolinha,Arkanum,,,,,,,,,,
Page 95,4,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,,
Page 96,4,Cebolinha,Magali,,,,,,,,,,,
Page 97,4,Cebolinha,Arkanum,,,,,,,,,,,
Page 98,4,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,,
Page 99,4,Capitão Feio,Yuka,,,,,,,,,,,
Page 100,4,Mônica,Cebolinha,Yuka,Arkanum,,,,,,,,,
Page 101,4,Mônica,Cebolinha,Capitão Feio,Yuka,,,,,,,,,
Page 102,4,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 103,4,Mônica,Cebolinha,Cascão,,,,,,,,,,
Page 104,4,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 105,4,Magali,Capitão Feio,Yuka,Arkanum,,,,,,,,,
Page 106,4,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,Arkanum,,,,,,
Page 107,4,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 108,4,Mônica,Cascão,Arkanum,,,,,,,,,,
Page 109,4,Mônica,Arkanum,,,,,,,,,,,
Page 110,4,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 111,4,Mônica,Yuka,Arkanum,,,,,,,,,,
Page 112,4,Mônica,Magali,Cascão,Arkanum,,,,,,,,,
Page 113,4,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 114,4,Mônica,Cebolinha,Magali,Cascão,Zephyrus,,,,,,,,
Page 115,4,Mônica,Cebolinha,Magali,Cascão,Zephyrus,,,,,,,,
Page 116,4,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Arkanum,,,,,,,
Page 117,4,Yuka,Arkanum,,,,,,,,,,,
Page 118,4,Capitão Feio,Yuka,,,,,,,,,,,
Page 119,4,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,,,,,
Page 120,4,Capitão Feio,Yuka,,,,,,,,,,,
Page 121,4,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Yuka,,,,,,,
Page 122,,Magali,Cascão,,,,,,,,,,,
