Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 25,1,1,Magali,Bruxa Viviane,Mamute Antão,Pterodáctilo Alfredo,Brontossauro,#tdm_20 Dinossauro 1,#tdm_20 Dinossauro 2,,,,,,,,,
Page 26,1,1,Magali,Bruxa Viviane,Bóris,,,,,,,,,,,,,
Page 27,1,1,Mônica,Cebolinha,Magali,Cascão,Bruxa Viviane,Bóris,,,,,,,,,,
Page 28,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,
Page 30,2,1,Piteco,#tdm_20 Animal 1,,,,,,,,,,,,,,
Page 31,2,1,Piteco,,,,,,,,,,,,,,,
Page 32,2,1,Piteco,#tdm_20 Dinossauro 3,,,,,,,,,,,,,,
Page 33,2,1,Piteco,#tdm_20 Dinossauro 3,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,,
Page 38,3,1,Penadinho,#tdm_20 Gato 1,,,,,,,,,,,,,,
Page 39,3,1,Penadinho,#tdm_20 Gato 1,,,,,,,,,,,,,,
Page 40,4,1,Cebolinha,Floquinho,,,,,,,,,,,,,,
Page 41,4,1,Cebolinha,Floquinho,,,,,,,,,,,,,,
Page 42,5,1,Dudu,Dona Cecília,,,,,,,,,,,,,,
Page 43,5,1,Dudu,Lactos Kid,,,,,,,,,,,,,,
Page 44,5,1,Dudu,Lactos Kid,Milhus,Ervilhus,,,,,,,,,,,,
Page 45,5,1,Dudu,Lactos Kid,Milhus,Ervilhus,Capitão Macarrônios,Monstro Q.I.Jo,#tdm_20 Feijônico 1,#tdm_20 Feijônico 2,#tdm_20 Feijônico 3,#tdm_20 Feijônico 4,#tdm_20 Feijônico 5,#tdm_20 Feijônico 6,#tdm_20 Feijônico 7,#tdm_20 Feijônico 8,#tdm_20 Feijônico 9,#tdm_20 Feijônico 10
Page 46,5,1,Dudu,Dona Cecília,Lactos Kid,Milhus,Ervilhus,#tdm_20 Feijônico 1,#tdm_20 Feijônico 2,#tdm_20 Feijônico 3,,,,,,,,
Page 47,,,,,,,,,,,,,,,,,,
Page 48.1,6,0.5,Franjinha,Bidu,,,,,,,,,,,,,,
Page 48.2,7,0.5,Cebolinha,Bidu,,,,,,,,,,,,,,
Page 49.1,7,0.5,Cebolinha,Bidu,,,,,,,,,,,,,,
Page 49.2,,0.5,Mônica,Cascão,Bidu,,,,,,,,,,,,,
Page 50,8,1,Astronauta,#tdm_20 Alien 1,#tdm_20 Alien 2,,,,,,,,,,,,,
Page 51,8,1,Astronauta,#tdm_20 Alien 2,#tdm_20 Alien 3,,,,,,,,,,,,,
Page 52,9,1,Zé Lelé,Odorica,#tdm_20 Figurante 1,#tdm_20 Figurante 2,#tdm_20 Atendente 5,#tdm_20 Animal 2,,,,,,,,,,
Page 53.1,9,0.5,Zé Lelé,Odorica,#tdm_20 Atendente 5,#tdm_20 Criança 2,#tdm_20 Criança 3,#tdm_20 Criança 4,#tdm_20 Criança 5,#tdm_20 Criança 6,#tdm_20 Criança 7,#tdm_20 Criança 8,#tdm_20 Criança 9,#tdm_20 Criança 10,#tdm_20 Criança 11,,,
Page 53.2,9,0.5,Zé Lelé,Odorica,#tdm_20 Atendente 6,,,,,,,,,,,,,
Page 54.1,9,0.5,Zé Lelé,Odorica,#tdm_20 Criança 12,#tdm_20 Criança 13,#tdm_20 Criança 14,#tdm_20 Criança 15,,,,,,,,,,
Page 54.2,,0.5,Zé Lelé,Dona Lalá,Odorica,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,
Page 56.1,10,0.5,Lobi,#tdm_20 Animal 3,#tdm_20 Animal 4,#tdm_20 Animal 5,#tdm_20 Animal 6,,,,,,,,,,,
Page 56.2,11,0.5,Lobi,#tdm_20 Animal 5,#tdm_20 Animal 6,#tdm_20 Criança 16,,,,,,,,,,,,
Page 57,11,1,Lobi,#tdm_20 Animal 5,#tdm_20 Animal 6,#tdm_20 Criança 17,#tdm_20 Figurante 3,,,,,,,,,,,
Page 58.1,12,0.5,Mônica,,,,,,,,,,,,,,,
Page 58.2,13,0.5,Franjinha,Bidu,,,,,,,,,,,,,,
Page 59.1,13,0.5,Magali,Mingau,,,,,,,,,,,,,,
Page 59.2,,0.5,Mônica,Cebolinha,Floquinho,,,,,,,,,,,,,
Page 60,14,1,Tina,Pipa,Rolo,,,,,,,,,,,,,
Page 61.1,14,0.5,Tina,Pipa,,,,,,,,,,,,,,
Page 61.2,14,0.5,Tina,#tdm_20 Serginho,,,,,,,,,,,,,,
Page 62,14,1,Tina,Pipa,#tdm_20 Serginho,,,,,,,,,,,,,
Page 63,14,1,Tina,Pipa,,,,,,,,,,,,,,
Page 64,14,1,Tina,Pipa,#tdm_20 Serginho,,,,,,,,,,,,,
Page 65,14,1,Tina,Pipa,#tdm_20 Serginho,,,,,,,,,,,,,
Page 66,15,1,Penadinho,Zé Vampir,Muminho,Cranicóla,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,
