Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28
Page 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 25,3,1,Alminha,Penadinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 26,3,1,Alminha,Penadinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 27,3,1,Alminha,Penadinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 28,3,1,Alminha,Penadinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 29,3,1,Alminha,Penadinho,gibi 13 Figurante 1,gibi 13 Figurante 2,gibi 13 Figurante 3,,,,,,,,,,,,,,,,,,,,,,,
Page 30,3,1,Alminha,Penadinho,gibi 13 Figurante 0,gibi 13 Figurante 1,gibi 13 Figurante 2,,,,,,,,,,,,,,,,,,,,,,,
Page 31,3,1,Alminha,Penadinho,Alma amante do Penadinho,,,,,,,,,,,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,4,1,Piteco,Dinassouro Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,4,1,Piteco,Dinassouro Rosa,Dinossauro Grandão,,,,,,,,,,,,,,,,,,,,,,,,,
Page 38,5,1,Mônica,Cascão,Alien,,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 40,6,1,Maria Cebolinha,gibi 13 Figurante 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 41,6,1,Maria Cebolinha,Floquinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,6,1,Maria Cebolinha,Floquinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,6,1,Maria Cebolinha,Floquinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,6,1,Maria Cebolinha,Floquinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,6,1,Maria Cebolinha,Floquinho,Dona Cebola,,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,6,1,Maria Cebolinha,Floquinho,Dona Cebola,,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,6,1,Maria Cebolinha,Floquinho,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 48,7,1,Maria Cebolinha,Floquinho,Dona Cebola,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 50,8,1,Floquinho,Monicão,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 51,8,1,Monicão,Bidu,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 52,9,1,Chico Bento,Zé Lelé,Dona Marocas,Torresmo,Outro porco,Dona Cotinha,gibi 13 Criança 7,gibi 13 Criança 8,gibi 13 Criança 9,gibi 13 Criança 10,,,,,,,,,,,,,,,,,,
Page 53,10,1,Papa-Capim,Cafuné,Jurema,,,,,,,,,,,,,,,,,,,,,,,,,
Page 54,10,1,Papa-Capim,Cafuné,Jurema,,,,,,,,,,,,,,,,,,,,,,,,,
Page 55,10,1,Papa-Capim,Cafuné,Jurema,Outro Índio,,,,,,,,,,,,,,,,,,,,,,,,
Page 56,11,1,Cebolinha,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 57,11,1,Cebolinha,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 58,11,1,Mônica,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,11,1,Mônica,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 60,11,1,Mônica,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,11,1,Mônica,Sansão,Chovinista,gibi 13 Figurante 5,gibi 13 Figurante 6,,,,,,,,,,,,,,,,,,,,,,,
Page 62,11,1,Mônica,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 63,11,1,Mônica,Sansão,Chovinista,Pitbull,,,,,,,,,,,,,,,,,,,,,,,,
Page 64,11,1,Mônica,Sansão,Chovinista,,,,,,,,,,,,,,,,,,,,,,,,,
Page 65,11,1,Mônica,Sansão,Chovinista,Cascão,,,,,,,,,,,,,,,,,,,,,,,,
Page 66,12,1,Bidu,Chinês,,,,,,,,,,,,,,,,,,,,,,,,,,
