Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23
Page 23,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Chico Bento,Espírito do Milharal,#tdm_35 Figurante 1,,,,,,,,,,,,,,,,,,,,
Page 25,1,1,Chico Bento,Espírito do Milharal,#tdm_35 Figurante 2,,,,,,,,,,,,,,,,,,,,
Page 26,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 27,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 28,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,2,1,Bidu,,,,,,,,,,,,,,,,,,,,,,
Page 31,2,1,Bidu,Duque,Zé Gordão,#tdm_35 Animal 10,,,,,,,,,,,,,,,,,,,
Page 32,2,1,Bidu,Duque,Zé Gordão,#tdm_35 Animal 10,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,3,1,Dorinha,Mãe da Dorinha,,,,,,,,,,,,,,,,,,,,,
Page 38,3,1,Dorinha,Mãe da Dorinha,,,,,,,,,,,,,,,,,,,,,
Page 39,3,1,Dorinha,Mãe da Dorinha,Magali,Dona Lili,,,,,,,,,,,,,,,,,,,
Page 40,4,1,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 41,4,1,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 42,5,1,Magali,Mingau,,,,,,,,,,,,,,,,,,,,,
Page 43,5,1,Magali,Mingau,,,,,,,,,,,,,,,,,,,,,
Page 44,6,1,Papa-Capim,Cafuné,#tdm_35 Figurante 3,,,,,,,,,,,,,,,,,,,,
Page 45,6,1,#tdm_35 Figurante 3,Jurema,#tdm_35 Indiazinha 1,#tdm_35 Índio,#tdm_35 Índia,#tdm_35 Figurante 4,#tdm_35 Indiazinha 2,#tdm_35 Indiazinha 3,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,7,1,Cascão,Cebolinha,Do Contra,,,,,,,,,,,,,,,,,,,,
Page 48,8,1,Frank,#tdm_35 Figurante 5,#tdm_35 Figurante 6,#tdm_35 Animal 11,,,,,,,,,,,,,,,,,,,
Page 49,8,1,Frank,#tdm_35 Figurante 6,#tdm_35 Figurante 5,#tdm_35 Animal 12,,,,,,,,,,,,,,,,,,,
Page 50,8,1,Frank,#tdm_35 Figurante 7,Penadinho,,,,,,,,,,,,,,,,,,,,
Page 51,8,1,Frank,#tdm_35 Figurante 7,Penadinho,,,,,,,,,,,,,,,,,,,,
Page 52,8,1,Frank,#tdm_35 Figurante 8,Zé Vampir,,,,,,,,,,,,,,,,,,,,
Page 53,8,1,Frank,#tdm_35 Figurante 8,Zé Vampir,Lobi,#tdm_35 Figurante 9,,,,,,,,,,,,,,,,,,
Page 54,8,1,Frank,#tdm_35 Figurante 9,Lobi,,,,,,,,,,,,,,,,,,,,
Page 55,8,1,Frank,#tdm_35 Figurante 10,#tdm_35 Figurante 11,Cranicóla,Zé Caveirinha,Muminho,,,,,,,,,,,,,,,,,
Page 56,8,1,Frank,#tdm_35 Figurante 11,#tdm_35 Figurante 10,#tdm_35 Figurante 12,#tdm_35 Figurante 13,,,,,,,,,,,,,,,,,,
Page 57,8,1,Frank,#tdm_35 Figurante 14,#tdm_35 Figurante 15,#tdm_35 Figurante 16,#tdm_35 Figurante 17,#tdm_35 Figurante 18,,,,,,,,,,,,,,,,,
Page 58,,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 60,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 61,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 62,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 63,9,1,Chico Bento,Nhô Lau,#tdm_35 Animal 13,,,,,,,,,,,,,,,,,,,,
Page 64,9,1,Chico Bento,Nhô Lau,#tdm_35 Figurante 19,#tdm_35 Figurante 20,,,,,,,,,,,,,,,,,,,
Page 65,9,1,Chico Bento,Nhô Lau,#tdm_35 Figurante 20,#tdm_35 Figurante 19,,,,,,,,,,,,,,,,,,,
Page 66,10,1,Cranicóla,#tdm_35 Fantasminha,,,,,,,,,,,,,,,,,,,,,
