Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13
Page 54,3,1,Mônica,Cebolinha,Fada da Ilha Sonífera,Duende 1,Duende 2,Duende 3,,,,,,,
Page 55,3,1,Mônica,Cebolinha,Cascão,Fada da Ilha Sonífera,,,,,,,,,
Page 56,3,1,Mônica,Cebolinha,Magali,Cascão,Fada da Ilha Sonífera,,,,,,,,
Page 57,3,1,Mônica,Cebolinha,Magali,Cascão,Fada da Ilha Sonífera,Duende 2,,,,,,,
Page 58,3,1,Mônica,Cebolinha,Fada da Ilha Sonífera,,,,,,,,,,
Page 59,3,1,Mônica,Cebolinha,Magali,Cascão,Duende 2,,,,,,,,
Page 60,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 61,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 62,3,1,Mônica,Cebolinha,Magali,Cascão,Guerreiro Anão 1,Arqueiro Anão 1,Arqueiro Anão 2,Arqueiro Anão 3,Arqueiro Anão 4,,,,
Page 63,3,1,Magali,Cascão,Guerreiro Anão 2,Guerreiro Anão 3,#1tmj02 Sombra 14,#1tmj02 Sombra 15,#1tmj02 Sombra 16,#1tmj02 Sombra 17,#1tmj02 Sombra 18,#1tmj02 Sombra 19,#1tmj02 Sombra 20,,
Page 64,3,1,Magali,Cascão,Mingau,Guerreiro Anão 4,,,,,,,,,
Page 65,3,1,Magali,Cascão,Mingau,,,,,,,,,,
Page 66,3,1,Magali,Cascão,Mingau,Guerreiro Anão 5,Guerreiro Anão 6,,,,,,,,
Page 67,3,1,Mônica,Cebolinha,Magali,Cascão,Guerreiro Anão 7,,,,,,,,
Page 68,3,1,Mônica,Cebolinha,Magali,Cascão,Guerreiro Anão 8,Guerreiro Anão 9,Guerreiro Anão 10,,,,,,
Page 69,3,1,Mônica,Cebolinha,Magali,Cascão,Mingau,Guerreiro Anão 10,,,,,,,
Page 70,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 71,4,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,,,,,
Page 72,4,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,,,,,
Page 73,4,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 74,4,1,Mônica,Cebolinha,Magali,,,,,,,,,,
Page 75,4,1,Mônica,Cebolinha,Magali,Arkanum,,,,,,,,,
Page 76,4,1,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 77,4,1,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 78,4,1,Mônica,Cebolinha,Cascão,Capitão Feio,Guarda Anão 1,Guarda Anão 2,Guarda Anão 3,Guarda Anão 4,Guarda Anão 5,,,,
Page 79,4,1,Magali,Cascão,Capitão Feio,Guarda Anão 3,Guarda Anão 4,,,,,,,,
Page 80,4,1,Mônica,Cebolinha,Cascão,Capitão Feio,,,,,,,,,
Page 81,4,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Guarda Anão 3,Guarda Anão 4,,,,,,
Page 82,4,1,Mônica,Cebolinha,Cascão,Capitão Feio,Guarda Anão 6,,,,,,,,
Page 83,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 84,4,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Guarda Anão 2,Guarda Anão 3,,,,,,
Page 85,4,1,Mônica,Cebolinha,Cascão,Capitão Feio,,,,,,,,,
Page 86,4,1,Mônica,Cebolinha,Cascão,,,,,,,,,,
Page 87,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 88,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 89,4,1,Mônica,Cebolinha,Cascão,General El Osso,Esqueleto 1,Esqueleto 2,Esqueleto 3,Esqueleto 4,Esqueleto 5,Esqueleto 6,Esqueleto 7,Esqueleto 8,Esqueleto 9
Page 90,4,1,Mônica,Cebolinha,Cascão,General El Osso,Esqueleto 1,,,,,,,,
Page 91,4,1,Capitão Feio,Yuka,Guarda Anão 3,,,,,,,,,,
Page 92,4,1,Mônica,Cebolinha,Magali,Cascão,Esqueleto 2,Esqueleto 3,,,,,,,
Page 93,4,1,Mônica,Cebolinha,Cascão,Arkanum,,,,,,,,,
Page 94,4,1,Mônica,Cebolinha,Arkanum,,,,,,,,,,
Page 95,4,1,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,,
Page 96,4,1,Cebolinha,Magali,,,,,,,,,,,
Page 97,4,1,Cebolinha,Arkanum,,,,,,,,,,,
Page 98,4,1,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,,
Page 99,4,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 100,4,1,Mônica,Cebolinha,Yuka,Arkanum,,,,,,,,,
Page 101,4,1,Mônica,Cebolinha,Capitão Feio,Yuka,,,,,,,,,
Page 102,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 103,4,1,Mônica,Cebolinha,Cascão,,,,,,,,,,
Page 104,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 105,4,1,Magali,Capitão Feio,Yuka,Arkanum,,,,,,,,,
Page 106,4,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,Arkanum,,,,,,
Page 107,4,1,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 108,4,1,Mônica,Cascão,Arkanum,,,,,,,,,,
Page 109,4,1,Mônica,Arkanum,,,,,,,,,,,
Page 110,4,1,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 111,4,1,Mônica,Yuka,Arkanum,,,,,,,,,,
Page 112,4,1,Mônica,Magali,Cascão,Arkanum,,,,,,,,,
Page 113,4,1,Mônica,Cebolinha,Magali,Cascão,Arkanum,,,,,,,,
Page 114,4,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,,,,,,,,
Page 115,4,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,,,,,,,,
Page 116,4,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Arkanum,,,,,,,
Page 117,4,1,Yuka,Arkanum,,,,,,,,,,,
Page 118,4,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 119,4,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,,,,,
Page 120,4,1,Capitão Feio,Yuka,,,,,,,,,,,
Page 121,4,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Yuka,,,,,,,
Page 122,,1,Magali,Cascão,,,,,,,,,,,
