Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 100,3,Dona Luísa,Seu Cebola,Seu Antenor,Cavalo 1,Cavalo 2,Cavalo 4,,,
Page 101,3,Dona Lili,Yuka,Cavalo 3,,,,,,
Page 102,3,Mônica,Cebolinha,Cascão,Dona Luísa,,,,,
Page 103,3,Capitão Feio,Yuka,,,,,,,
Page 104,3,Mônica,Cebolinha,Capitão Feio,Bóreas,Zephyrus,Euros,Notus,,
Page 105,3,Cebolinha,Capitão Feio,Franjinha,Bóreas,Zephyrus,Euros,Notus,Monstro de Poeira 1,
Page 106,3,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,
Page 107,3,Mônica,Capitão Feio,Yuka,,,,,,
Page 108,3,Yuka,Bóreas,Zephyrus,Euros,Notus,,,,
Page 109,3,Mônica,Cebolinha,Magali,Cascão,Dona Luísa,Seu Cebola,Yuka,,
Page 110,3,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 111,3,Yuka,Bóreas,Zephyrus,Euros,Notus,,,,
Page 112,3,Mônica,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Yuka,,,
Page 113,3,Mônica,Dona Luísa,,,,,,,
Page 114,3,Cebolinha,Magali,Cascão,Capitão Feio,,,,,
Page 115,3,Franjinha,Prof Falconi,Yuka,Monstro de Poeira 1,Monstro de Poeira 2,,,,
Page 116,3,Mônica,Cebolinha,Magali,Cascão,Bóreas,Zephyrus,Euros,Notus,
Page 117,3,Arkanum,Kraker,Ninja,Lobisomem,,,,,
Page 118,3,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,
Page 119,3,Mônica,Yuka,,,,,,,
Page 120,3,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 121,3,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,
Page 122,,Mônica,Cebolinha,,,,,,,
