Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 28,1,1,Mônica,Magali,,,,,,,,,,,,,,,
Page 29,1,1,Mônica,Magali,,,,,,,,,,,,,,,
Page 30,1,1,Mônica,Magali,,,,,,,,,,,,,,,
Page 31,1,1,Mônica,Magali,,,,,,,,,,,,,,,
Page 32,1,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 33,1,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 34,1,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 35,1,1,Cebolinha,Cascão,Dona Cebola,,,,,,,,,,,,,,
Page 36,1,1,Cebolinha,Cascão,Dona Cebola,Seu Cebola,,,,,,,,,,,,,
Page 37,1,1,Cebolinha,Cascão,,,,,,,,,,,,,,,
Page 38,1,1,Mônica,Cebolinha,Cascão,Sansão,,,,,,,,,,,,,
Page 39,1,1,Cebolinha,Cascão,Seu Cebola,,,,,,,,,,,,,,
Page 40,1,1,Mônica,Sansão,,,,,,,,,,,,,,,
Page 41,2,1,Mônica,Tonhão da Rua de Baixo,Sansão,,,,,,,,,,,,,,
Page 42,2,1,Mônica,Toneco,,,,,,,,,,,,,,,
Page 43,2,1,Cebolinha,Cascão,,,,,,,,,,,,,,,
Page 44,2,1,Cebolinha,Cascão,Xaveco,,,,,,,,,,,,,,
Page 45,2,1,Mônica,Cebolinha,Cascão,Sansão,#1tmj_09 Estudante 3,#1tmj_09 Estudante 4,#1tmj_09 Estudante 5,#1tmj_09 Estudante 6,#1tmj_09 Estudante 7,#1tmj_09 Estudante 8,#1tmj_09 Estudante 9,#1tmj_09 Estudante 10,#1tmj_09 Estudante 11,#1tmj_09 Estudante 12,,,
Page 46,2,1,Mônica,Cebolinha,Denise,Carminha Frufru,Tonhão da Rua de Baixo,,,,,,,,,,,,
Page 47,2,1,Mônica,Cebolinha,Magali,Denise,Carminha Frufru,Tonhão da Rua de Baixo,,,,,,,,,,,
Page 48,2,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 49,2,1,Mônica,Cebolinha,Magali,Cascão,Denise,Carminha Frufru,Tonhão da Rua de Baixo,#1tmj_09 Estudante 3,#1tmj_09 Estudante 4,#1tmj_09 Estudante 5,#1tmj_09 Estudante 6,#1tmj_09 Estudante 7,#1tmj_09 Estudante 8,#1tmj_09 Estudante 9,#1tmj_09 Estudante 10,#1tmj_09 Estudante 11,#1tmj_09 Estudante 12
Page 50.1,2,0.5,Tonhão da Rua de Baixo,#1tmj_09 Figurante 1,,,,,,,,,,,,,,,
Page 50.2,2,0.5,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 51.1,2,0.5,Xaveco,Tonhão da Rua de Baixo,#1tmj_09 Figurante 2,#1tmj_09 Figurante 3,#1tmj_09 Figurante 4,#1tmj_09 Sombra 6,#1tmj_09 Sombra 7,#1tmj_09 Sombra 8,#1tmj_09 Sombra 9,#1tmj_09 Sombra 10,,,,,,,
Page 51.2,2,0.5,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 52,2,1,Mônica,Cebolinha,Magali,Cascão,Tonhão da Rua de Baixo,,,,,,,,,,,,
Page 53,2,1,Mônica,Magali,Carminha Frufru,Tonhão da Rua de Baixo,,,,,,,,,,,,,
Page 54,2,1,Mônica,Cebolinha,Denise,Carminha Frufru,Tonhão da Rua de Baixo,,,,,,,,,,,,
Page 55,2,1,Mônica,Cebolinha,Cascão,Tonhão da Rua de Baixo,,,,,,,,,,,,,
Page 56,2,1,Cebolinha,Cascão,Tonhão da Rua de Baixo,Prof Rubens,#1tmj_09 Estudante 3,#1tmj_09 Estudante 4,#1tmj_09 Estudante 5,#1tmj_09 Estudante 6,#1tmj_09 Estudante 7,#1tmj_09 Estudante 8,#1tmj_09 Estudante 9,#1tmj_09 Estudante 10,#1tmj_09 Estudante 11,#1tmj_09 Estudante 12,,,
Page 57,2,1,Cebolinha,Denise,Carminha Frufru,Tonhão da Rua de Baixo,Prof Rubens,,,,,,,,,,,,
Page 58,2,1,Mônica,Cebolinha,Magali,Cascão,Tonhão da Rua de Baixo,#1tmj_09 Estudante 13,#1tmj_09 Sombra 11,#1tmj_09 Sombra 12,#1tmj_09 Sombra 13,#1tmj_09 Sombra 14,#1tmj_09 Sombra 15,#1tmj_09 Sombra 16,#1tmj_09 Sombra 17,#1tmj_09 Sombra 18,#1tmj_09 Sombra 19,#1tmj_09 Sombra 20,
Page 59,2,1,Mônica,Magali,Xaveco,#1tmj_09 Estudante 14,#1tmj_09 Estudante 15,#1tmj_09 Estudante 16,#1tmj_09 Estudante 17,#1tmj_09 Estudante 18,#1tmj_09 Estudante 19,#1tmj_09 Estudante 20,,,,,,,
Page 60,2,1,Mônica,Magali,Cascão,Tonhão da Rua de Baixo,,,,,,,,,,,,,
Page 61,2,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 62,2,1,Mônica,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 63,2,1,Mônica,Cebolinha,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,
Page 64,2,1,Mônica,Cebolinha,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,
Page 65,2,1,Denise,Carminha Frufru,Xaveco,Do Contra,Prof Jorge,,,,,,,,,,,,
Page 66,2,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 67,2,1,Mônica,Cebolinha,Magali,Carminha Frufru,Tonhão da Rua de Baixo,,,,,,,,,,,,
Page 68,2,1,Mônica,Cebolinha,Cascão,Xaveco,Tonhão da Rua de Baixo,,,,,,,,,,,,
Page 69,2,1,Cebolinha,Xaveco,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 70,2,1,Xaveco,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 71,2,1,Xaveco,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 72,2,1,Mônica,Cebolinha,Magali,Cascão,Xaveco,Tonhão da Rua de Baixo,,,,,,,,,,,
Page 73,2,1,Cebolinha,Xaveco,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,,,
Page 74,2,1,Mônica,Magali,Carminha Frufru,Xaveco,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,
Page 75,2,1,Mônica,Cebolinha,Denise,Carminha Frufru,Tonhão da Rua de Baixo,#1tmj_09 Sombra 21,#1tmj_09 Sombra 22,#1tmj_09 Sombra 23,,,,,,,,,
Page 76,2,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 77,2,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,#1tmj_09 Figurante 5,#1tmj_09 Sombra 24,,,,,,,,,,,,
Page 78,2,1,Mônica,Cebolinha,Marina,Tonhão da Rua de Baixo,#1tmj_09 Animal 1,,,,,,,,,,,,
Page 79,2,1,Cebolinha,Cascão,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 80,2,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,#1tmj_09 Sombra 25,#1tmj_09 Sombra 26,#1tmj_09 Sombra 27,#1tmj_09 Sombra 28,#1tmj_09 Sombra 29,,,,,,,,,
Page 81,2,1,Cebolinha,,,,,,,,,,,,,,,,
Page 82,3,1,Mônica,Cebolinha,Carminha Frufru,Tonhão da Rua de Baixo,,,,,,,,,,,,,
Page 83,3,1,Cebolinha,Cascão,Denise,Carminha Frufru,Xaveco,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,
Page 84,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,,
Page 85,3,1,Mônica,Cebolinha,Cascão,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,,
Page 86,3,1,Cebolinha,Cascão,Prof Jorge,,,,,,,,,,,,,,
Page 87,3,1,Cebolinha,Magali,Cascão,Denise,Xaveco,,,,,,,,,,,,
Page 88,3,1,Mônica,Cebolinha,Magali,Cascão,Denise,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,
Page 89,3,1,Denise,Carminha Frufru,Xaveco,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,,
Page 90,3,1,Mônica,Magali,Denise,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,,
Page 91,3,1,Mônica,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 92,3,1,Cebolinha,Dona Luísa,Seu Souza,Prof Jorge,#1tmj_09 Figurante 6,#1tmj_09 Figurante 7,#1tmj_09 Figurante 8,#1tmj_09 Figurante 9,#1tmj_09 Figurante 10,#1tmj_09 Figurante 11,#1tmj_09 Figurante 12,#1tmj_09 Figurante 13,#1tmj_09 Figurante 14,#1tmj_09 Figurante 15,,,
Page 93,3,1,Cebolinha,Denise,Tonhão da Rua de Baixo,#1tmj_09 Estudante 1,,,,,,,,,,,,,
Page 94,3,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 95,3,1,Mônica,Cebolinha,Cascão,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,,
Page 96,3,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,Dona Luísa,Seu Souza,#1tmj_09 Figurante 6,#1tmj_09 Figurante 7,#1tmj_09 Figurante 8,#1tmj_09 Figurante 9,#1tmj_09 Figurante 10,#1tmj_09 Figurante 11,#1tmj_09 Figurante 12,#1tmj_09 Figurante 13,#1tmj_09 Figurante 14,#1tmj_09 Figurante 15,,
Page 97,3,1,Mônica,Magali,Denise,Xaveco,Prof Jorge,#1tmj_09 Figurante 16,,,,,,,,,,,
Page 98,3,1,Mônica,Magali,Denise,Tonhão da Rua de Baixo,Prof Jorge,,,,,,,,,,,,
Page 99,3,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 100,3,1,Mônica,Magali,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 101,3,1,Mônica,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 102,3,1,Mônica,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 103,3,1,Mônica,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 104,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 105,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 106,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 107.1,3,0.5,Mônica,Cebolinha,Cascão,Tonhão da Rua de Baixo,Sansão,,,,,,,,,,,,
Page 107.2,3,0.5,Toneco,Pai do Toni,#1tmj_09 Criança 1,#1tmj_09 Criança 2,,,,,,,,,,,,,
Page 108,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 109,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 110,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 111,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 112,3,1,Mônica,Cebolinha,Magali,Cascão,Denise,Xaveco,Tonhão da Rua de Baixo,Prof Jorge,#1tmj_09 Figurante 17,#1tmj_09 Figurante 18,#1tmj_09 Figurante 19,,,,,,
Page 113,3,1,Mônica,Magali,Cascão,Denise,Carminha Frufru,Xaveco,Prof Jorge,#1tmj_09 Figurante 18,#1tmj_09 Figurante 19,,,,,,,,
Page 114,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 115,3,1,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,,
Page 116,3,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 117,3,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 118,3,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,Sansão,,,,,,,,,,,,,
Page 119,3,1,Magali,Cascão,Denise,#1tmj_09 Figurante 20,,,,,,,,,,,,,
Page 120,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,
Page 121,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,,
Page 122,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,,
Page 123,3,1,Mônica,Cebolinha,Tonhão da Rua de Baixo,,,,,,,,,,,,,,
Page 124,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,,
Page 125,3,1,,,,,,,,,,,,,,,,,
Page 126,3,1,,,,,,,,,,,,,,,,,
Page 127,3,1,,,,,,,,,,,,,,,,,
Page 128,3,1,,,,,,,,,,,,,,,,,
Page 129,3,1,,,,,,,,,,,,,,,,,
Page 130,3,1,,,,,,,,,,,,,,,,,
Page 131,3,1,,,,,,,,,,,,,,,,,
Page 132,3,1,Maria Cascuda,Nimbus,,,,,,,,,,,,,,,
