Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23
Page 20,1,1,Cebolinha,Sansão,Mônica,#tdm_36 Atendente 2,#tdm_36 Criança 7,#tdm_36 Criança 8,#tdm_36 Criança 9,#tdm_36 Criança 10,#tdm_36 Criança 11,#tdm_36 Criança 12,#tdm_36 Criança 13,,,,,,,,,,,,
Page 21,1,1,Cascão,Cebolinha,Sansão,Mônica,Magali,,,,,,,,,,,,,,,,,,
Page 22,1,1,Cascão,Cebolinha,#tdm_36 Criança 14,#tdm_36 Sombra 11,#tdm_36 Sombra 12,,,,,,,,,,,,,,,,,,
Page 23,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Cebolinha,#tdm_36 Pai 1,#tdm_36 Pai 2,#tdm_36 Gnomo do Papai Noel 1,#tdm_36 Gnomo do Papai Noel 2,#tdm_36 Gnomo do Papai Noel 3,#tdm_36 Criança 15,#tdm_36 Criança 16,#tdm_36 Criança 17,#tdm_36 Criança 18,#tdm_36 Criança 19,#tdm_36 Criança 20,#tdm_36 Criança 21,#tdm_36 Sombra 13,#tdm_36 Sombra 14,#tdm_36 Sombra 15,#tdm_36 Sombra 16,#tdm_36 Sombra 17,#tdm_36 Sombra 18,#tdm_36 Sombra 19,#tdm_36 Sombra 20,#tdm_36 Sombra 21,#tdm_36 Sombra 22
Page 25,1,1,Cebolinha,Sansão,#tdm_36 Pai 3,#tdm_36 Criança 22,#tdm_36 Sombra 23,#tdm_36 Sombra 24,#tdm_36 Sombra 25,#tdm_36 Sombra 26,,,,,,,,,,,,,,,
Page 26,1,1,Cebolinha,Sansão,Mônica,,,,,,,,,,,,,,,,,,,,
Page 27,1,1,Cebolinha,Mônica,Papai Noel,#tdm_36 Gnomo do Papai Noel 4,#tdm_36 Figurante 11,#tdm_36 Sombra 27,#tdm_36 Sombra 28,#tdm_36 Sombra 29,#tdm_36 Sombra 30,#tdm_36 Sombra 31,#tdm_36 Sombra 32,#tdm_36 Sombra 33,#tdm_36 Sombra 34,#tdm_36 Sombra 35,#tdm_36 Sombra 36,,,,,,,,
Page 28,2,1,Nico Demo,,,,,,,,,,,,,,,,,,,,,,
Page 29,2,1,Nico Demo,,,,,,,,,,,,,,,,,,,,,,
Page 30,3,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,,,
Page 31,3,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,4,1,Zé Lelé,Maria Cafufa,#tdm_36 Animal 1,,,,,,,,,,,,,,,,,,,,
Page 38,4,1,Zé Lelé,Maria Cafufa,#tdm_36 Animal 1,,,,,,,,,,,,,,,,,,,,
Page 39,4,1,Zé Lelé,Maria Cafufa,#tdm_36 Animal 2,#tdm_36 Animal 3,,,,,,,,,,,,,,,,,,,
Page 40,4,1,Zé Lelé,Maria Cafufa,#tdm_36 Animal 2,,,,,,,,,,,,,,,,,,,,
Page 41,4,1,Zé Lelé,Maria Cafufa,,,,,,,,,,,,,,,,,,,,,
Page 42,4,1,Zé Lelé,Maria Cafufa,#tdm_36 Animal 2,#tdm_36 Animal 3,,,,,,,,,,,,,,,,,,,
Page 43,4,1,Zé Lelé,Maria Cafufa,,,,,,,,,,,,,,,,,,,,,
Page 44,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,5,1,#tdm_36 Figurante 12,#tdm_36 Figurante 13,,,,,,,,,,,,,,,,,,,,,
Page 46,6,1,Mônica,Sansão,Cascão,Maria Cascuda,Titi,Aninha,,,,,,,,,,,,,,,,,
Page 47,6,1,Mônica,Sansão,Magali,Quinzinho,Cebolinha,,,,,,,,,,,,,,,,,,
Page 48,,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,7,1,Cascão,Cebolinha,Magali,Mônica,Bidu,Homem de Chumbo,Zing Mascarado,Alberto Aíston,,,,,,,,,,,,,,,
Page 50,7,1,Magali,Sônico,,,,,,,,,,,,,,,,,,,,,
Page 51,7,1,Magali,Cebolinha,Cascão,Mônica,Sansão,Sônico,,,,,,,,,,,,,,,,,
Page 52,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,,,,,,,,,,,,,,,,,,
Page 53,7,1,Cebolinha,Cascão,Mônica,Sônico,Franjinha,Bidu,,,,,,,,,,,,,,,,,
Page 54,7,1,Cebolinha,Cascão,Mônica,Magali,Franjinha,Sansão,,,,,,,,,,,,,,,,,
Page 55,7,1,Cebolinha,Cascão,Mônica,Franjinha,Sansão,,,,,,,,,,,,,,,,,,
Page 56,7,1,Magali,Cebolinha,Cascão,Mônica,Franjinha,Sônico,,,,,,,,,,,,,,,,,
Page 57,7,1,Magali,Cebolinha,Cascão,Mônica,Seu Cebola,,,,,,,,,,,,,,,,,,
Page 58,7,1,Seu Cebola,Dona Cebola,,,,,,,,,,,,,,,,,,,,,
Page 59,7,1,Magali,Cebolinha,Cascão,Mônica,Franjinha,Sônico,Alberto Aíston,#tdm_36 Figurante 14,#tdm_36 Figurante 15,#tdm_36 Figurante 16,#tdm_36 Figurante 17,#tdm_36 Sombra 37,#tdm_36 Sombra 38,,,,,,,,,,
Page 60,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,Alberto Aíston,#tdm_36 Personagem de jogo 1,,,,,,,,,,,,,,,,
Page 61,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,Alberto Aíston,#tdm_36 Personagem de jogo 1,Princesa Pesseguinho,,,,,,,,,,,,,,,
Page 62,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,Alberto Aíston,Zelda,Pacman,,,,,,,,,,,,,,,
Page 63,7,1,Cebolinha,Bloguinho,Cascão,Franjinha,Sônico,Mario Vermelho,Mônica,,,,,,,,,,,,,,,,
Page 64,7,1,Sônico,Mônica,Cascão,Bloguinho,Alberto Aíston,Homem de Chumbo,Zing Mascarado,Magali,Cebolinha,Franjinha,#tdm_36 Personagem de jogo 2,,,,,,,,,,,,
Page 65,7,1,#tdm_36 Personagem de jogo 2,#tdm_36 Personagem de jogo 3,Magali,Mônica,Cebolinha,Franjinha,Bloguinho,Sônico,Cascão,Alberto Aíston,#tdm_36 Personagem de jogo 4,#tdm_36 Personagem de jogo 5,Pacman,,,,,,,,,,
Page 66,8,1,Do Contra,,,,,,,,,,,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,,,,,,,,
Page 69,,,,,,,,,,,,,,,,,,,,,,,,,
