Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 66,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,
Page 68,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 69,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 70,,1,Mônica,Cebolinha,Cascão,Franjinha,,,,,,,,,,,,
Page 71,,1,Mônica,Cebolinha,Cascão,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,
Page 72,,1,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,,,,
Page 73,,1,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,,,,
Page 74,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10
Page 75,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10
Page 76,,1,Mônica,Magali,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,,,,,,,,,
Page 77,,1,Mônica,Cebolinha,Magali,Xabéu,#1tmj_06 Robô Tzk 1,,,,,,,,,,,
Page 78,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,
Page 79,,1,Cebolinha,Magali,Cascão,Franjinha,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,
Page 80,,1,Zé Luís,Astronauta,,,,,,,,,,,,,,
Page 81,,1,Zé Luís,Astronauta,,,,,,,,,,,,,,
Page 82,,1,Zé Luís,Astronauta,,,,,,,,,,,,,,
Page 83,,1,Astronauta,Traje de Combate,,,,,,,,,,,,,,
Page 84,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10
Page 85,,1,Mônica,Cebolinha,Franjinha,Xabéu,,,,,,,,,,,,
Page 86,,1,Mônica,Cebolinha,Franjinha,Xabéu,,,,,,,,,,,,
Page 87,,1,Cebolinha,Magali,Cascão,Franjinha,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,
Page 88,,1,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,,,,,,,,,,
Page 89,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,,,,,,,,,,,
Page 90,,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,,,,,,,,,,,
Page 91,,1,Cebolinha,Franjinha,#1tmj_06 Robô Tzk 11,#1tmj_06 Robô Tzk 12,#1tmj_06 Robô Tzk 13,#1tmj_06 Robô Tzk 14,#1tmj_06 Robô Tzk 15,#1tmj_06 Robô Tzk 16,#1tmj_06 Robô Tzk 17,#1tmj_06 Robô Tzk 18,#1tmj_06 Robô Tzk 19,#1tmj_06 Robô Tzk 20,,,,
Page 92,,1,Cebolinha,Cascão,#1tmj_06 Robô Tzk 11,#1tmj_06 Robô Tzk 12,#1tmj_06 Robô Tzk 13,#1tmj_06 Robô Tzk 14,#1tmj_06 Robô Tzk 15,,,,,,,,,
Page 93,,1,Magali,Cascão,Franjinha,#1tmj_06 Robô Tzk 11,#1tmj_06 Robô Tzk 12,#1tmj_06 Robô Tzk 13,#1tmj_06 Robô Tzk 14,#1tmj_06 Robô Tzk 15,#1tmj_06 Robô Tzk 16,#1tmj_06 Robô Tzk 17,#1tmj_06 Robô Tzk 18,#1tmj_06 Robô Tzk 19,#1tmj_06 Robô Tzk 20,,,
Page 94,,1,Astronauta,Traje de Combate,,,,,,,,,,,,,,
Page 95,,1,Cebolinha,Magali,Cascão,Franjinha,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,#1tmj_06 Robô Tzk 26,#1tmj_06 Robô Tzk 27,#1tmj_06 Robô Tzk 28,#1tmj_06 Robô Tzk 29,#1tmj_06 Robô Tzk 30
Page 96,,1,Cascão,Franjinha,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,#1tmj_06 Robô Tzk 26,#1tmj_06 Robô Tzk 27,#1tmj_06 Robô Tzk 28,#1tmj_06 Robô Tzk 29,#1tmj_06 Robô Tzk 30,,
Page 97,,1,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,#1tmj_06 Robô Tzk 26,#1tmj_06 Robô Tzk 27,#1tmj_06 Robô Tzk 28,#1tmj_06 Robô Tzk 29,#1tmj_06 Robô Tzk 30,,,,
Page 98,,1,Franjinha,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,,,,,,,,
Page 99,,1,Franjinha,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,,,,,,,,
Page 100,,1,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,#1tmj_06 Robô Tzk 26,#1tmj_06 Robô Tzk 27,#1tmj_06 Robô Tzk 28,#1tmj_06 Robô Tzk 29,#1tmj_06 Robô Tzk 30,,,,
Page 101,,1,Astronauta,Traje de Combate,#1tmj_06 Robô Tzk 21,#1tmj_06 Robô Tzk 22,#1tmj_06 Robô Tzk 23,#1tmj_06 Robô Tzk 24,#1tmj_06 Robô Tzk 25,#1tmj_06 Robô Tzk 26,#1tmj_06 Robô Tzk 27,#1tmj_06 Robô Tzk 28,#1tmj_06 Robô Tzk 29,#1tmj_06 Robô Tzk 30,,,,
Page 102,,1,Cebolinha,Magali,Cascão,Franjinha,Astronauta,Traje de Combate,,,,,,,,,,
Page 103,,1,Mônica,Xabéu,,,,,,,,,,,,,,
Page 104,,1,Mônica,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,,,,,,,,,,,
Page 105,,1,Mônica,Xabéu,,,,,,,,,,,,,,
Page 106,,1,Mônica,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,,,,,,,,,
Page 107,,1,Mônica,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,,,,,,,,,
Page 108,,1,Mônica,Xabéu,,,,,,,,,,,,,,
Page 109,,1,Mônica,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,,,,,,,,,,,,
Page 110,,1,Mônica,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,,
Page 111,,1,Robô,,,,,,,,,,,,,,,
Page 112,,1,Mônica,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,,,,,,,,,,
Page 113,,1,Mônica,Xabéu,,,,,,,,,,,,,,
Page 114,,1,Mônica,Xabéu,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,,,,,,,,,,,
Page 115,,1,Mônica,Xabéu,Robô,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,
Page 116,,1,Robô,,,,,,,,,,,,,,,
Page 117,,1,Mônica,Xabéu,Robô,,,,,,,,,,,,,
Page 118,,1,Mônica,Xabéu,Robô,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,
Page 119,,1,Robô,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,,,
Page 120,,1,Robô,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,,,
Page 121,,1,Robô,#1tmj_06 Robô Tzk 1,#1tmj_06 Robô Tzk 2,#1tmj_06 Robô Tzk 3,#1tmj_06 Robô Tzk 4,#1tmj_06 Robô Tzk 5,#1tmj_06 Robô Tzk 6,#1tmj_06 Robô Tzk 7,#1tmj_06 Robô Tzk 8,#1tmj_06 Robô Tzk 9,#1tmj_06 Robô Tzk 10,,,,,
Page 122,,1,Mônica,Xabéu,Robô,,,,,,,,,,,,,
Page 123,,1,Mônica,Xabéu,Robô,,,,,,,,,,,,,
Page 124,,1,Princesa Usagi Mimi,#1tmj_06 Servo Robô 1,,,,,,,,,,,,,,
Page 125,,1,Princesa Usagi Mimi,#1tmj_06 Servo Robô 1,,,,,,,,,,,,,,
Page 126,,1,Princesa Usagi Mimi,,,,,,,,,,,,,,,
Page 127,,,,,,,,,,,,,,,,,,
Page 128,,,,,,,,,,,,,,,,,,
Page 129,,,,,,,,,,,,,,,,,,
Page 130,,,,,,,,,,,,,,,,,,
Page 131,,,,,,,,,,,,,,,,,,
Page 132,,1,Titi,Carminha Frufru,,,,,,,,,,,,,,
