Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28,Character 29,Character 30,Character 31,Character 32,Character 33,Character 34,Character 35,Character 36,Character 37,Character 38,Character 39,Character 40,Character 41
Page 40,,1,Piteco,Maurício de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 41,4,1,Piteco,Thuga,Bolota,#tdm_28 Dinossauro 1,#tdm_28 Animal 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,4,1,Piteco,#tdm_28 Dinossauro 1,#tdm_28 Animal 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,4,1,Piteco,#tdm_28 Dinossauro 2,#tdm_28 Dinossauro 3,#tdm_28 Tchako 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,4,1,Piteco,#tdm_28 Tchako 1,#tdm_28 Tchako 2,#tdm_28 Tchako 3,#tdm_28 Tchako 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,4,1,Piteco,#tdm_28 Tchako 1,#tdm_28 Tchako 2,#tdm_28 Gigante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,4,1,Piteco,#tdm_28 Gigante,#tdm_28 Tchako 1,#tdm_28 Tchako 2,#tdm_28 Tchako 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,4,1,Piteco,#tdm_28 Gigante,#tdm_28 Tchako 1,#tdm_28 Tchako 2,#tdm_28 Tchako 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 48,4,1,Piteco,#tdm_28 Gigante,#tdm_28 Tchako 1,#tdm_28 Tchako 2,#tdm_28 Tchako 3,#tdm_28 Tchako 4,#tdm_28 Tchako 5,#tdm_28 Tchako 6,#tdm_28 Tchako 7,#tdm_28 Dinossauro 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,4,1,Piteco,#tdm_28 Gigante,#tdm_28 Tchako 1,#tdm_28 Tchako 2,#tdm_28 Tchako 3,#tdm_28 Tchako 4,#tdm_28 Tchako 5,#tdm_28 Tchako 6,#tdm_28 Tchako 7,#tdm_28 Tchako 8,#tdm_28 Dinossauro 1,#tdm_28 Alien 1,#tdm_28 Dinossauro 4,#tdm_28 Figurante 2,#tdm_28 Figurante 3,#tdm_28 Figurante 4,,,,,,,,,,,,,,,,,,,,,,,,,
Page 50,4,1,Piteco,#tdm_28 Índio,Maurício de Souza,Astronauta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 52,5,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 53,5,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 54,6,1,Penadinho,Cranicóla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 56,7,1,Cascão,Anjinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 57,8,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 58,8,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,8,1,Mônica,Zé Luís,Xabéu,Denise,Aninha,Humberto,Luca,Marina,Bidu,Dudu,Magali,Xaveco,Tikara,Keiko,Alvinho,Franjinha,Titi,Teveluisão,Professor Spada / Doutor Spam,Louco,Maria Cascuda,Astronauta,Do Contra,Fabinho Boa Pinta,Mingau,Dorinha,Maria Cebolinha,Cebolinha,Cascão,Bloguinho,Alfacinha,Jeremias,Seu Juca,Manezinho,Anjinho,Jotalhão,Nimbus,Quinzinho,Carminha Frufru,Tonica,#tdm_28 Japa
Page 60,8,1,Mônica,Seu Souza,Dona Luísa,Monicão,Sansão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,8,1,Mônica,Cascão,Cebolinha,Sansão,Carminha Frufru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 62,8,1,Mônica,Magali,Carminha Frufru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 63,8,1,Mônica,Luca,Cebolinha,#tdm_28 Animal 7,Alfacinha,Fabinho Boa Pinta,Inho desconhecido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 64,8,1,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 65,8,1,Mônica,Maurício de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 66,9,1,Mônica,Monicão,Luca,Magali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
