Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21
Page 49,9,1,Luca,Mônica,Sansão,Magali,Denise,,,,,,,,,,,,,,,,
Page 50,9,1,Luca,Mônica,Cebolinha,Cascão,Franjinha,,,,,,,,,,,,,,,,
Page 51,9,1,Luca,,,,,,,,,,,,,,,,,,,,
Page 52,9,1,Luca,Mingau,Bidu,Magali,Mônica,Sansão,Xaveco,Cascão,Seu Xavier,Banda,#tdm_25 Criança 11,#tdm_25 Animal 5,Sequestradores,,,,,,,,
Page 53,9,1,Luca,,,,,,,,,,,,,,,,,,,,
Page 54,9,1,Luca,Cebolinha,Cascão,#tdm_25 Figurante 5,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,,,
Page 56,10,1,Chico Bento,Rosinha,Dona Marocas,,,,,,,,,,,,,,,,,,
Page 57,10,1,Chico Bento,Padre Lino,Dona Cotinha,#tdm_25 Figurante 6,,,,,,,,,,,,,,,,,
Page 58,11,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 59,11,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 60,11,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 61,11,1,Mônica,Cebolinha,Fabinho Boa Pinta,,,,,,,,,,,,,,,,,,
Page 62,11,1,Mônica,Cebolinha,Fabinho Boa Pinta,,,,,,,,,,,,,,,,,,
Page 63,11,1,Mônica,Cebolinha,#tdm_25 Criança 12,#tdm_25 Mãe 2,#tdm_25 Figurante 7,,,,,,,,,,,,,,,,
Page 64,11,1,Mônica,Cebolinha,Marina,,,,,,,,,,,,,,,,,,
Page 65,11,1,Mônica,Cebolinha,Marina,,,,,,,,,,,,,,,,,,
Page 66,12,1,Penadinho,Zé Caveirinha,,,,,,,,,,,,,,,,,,,
