Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18
Page 30,4,Frank,Penadinho,Zé Vampir,Lobi,Gorila,Pé Grande,Hulk,,,,,,,,,,,
Page 31,5,Cascão,Figurante 2 - gibi 11,Figurante 3 - gibi 11,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,
Page 36,6,Mônica,Cebolinha,,,,,,,,,,,,,,,,
Page 37,6,Cebolinha,Mônica,Cascão,Titi,Jeremias,Manezinho,,,,,,,,,,,,
Page 38,6,Mônica,Titi,Manezinho,Jeremias,Carminha Frufru,Magali,,,,,,,,,,,,
Page 39,6,Mônica,Magali,Cebolinha,Cascão,,,,,,,,,,,,,,
Page 40,6,Mônica,Magali,Cebolinha,Cascão,Jeremias,Titi,Pitbull,Figurante 4 - gibi 11,Figurante 5 - gibi 11,Figurante 6 - gibi 11,,,,,,,,
Page 41,6,Mônica,Magali,Cebolinha,Cascão,Titi,Jeremias,Figurante 7 - gibi 11,Luca,,,,,,,,,,
Page 42,7,Pulga 1,Pulga 2,Pulga 3,Pulga 4,Pulga 5,Pulga 6,,,,,,,,,,,,
Page 43,7,Pulga 1,Pulga 2,Pulguinha 1,Pulguinha 2,Franjinha,Bidu,,,,,,,,,,,,
Page 44,,,,,,,,,,,,,,,,,,,
Page 45,8,Zé Lelé,Vaca,,,,,,,,,,,,,,,,
Page 46,8,Zé Lelé,Tartaruga,,,,,,,,,,,,,,,,
Page 47,8,Zé Lelé,Tartaruga,,,,,,,,,,,,,,,,
Page 48,8,Zé Lelé,Tartaruga,,,,,,,,,,,,,,,,
Page 49,8,Zé Lelé,Tartaruga,Touro,,,,,,,,,,,,,,,
Page 50,8,Zé Lelé,Tartaruga,Tartaruga 2,Jacaré,,,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,,,
Page 52,,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,,,,,,,,,,,,,,
Page 53,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,,,,,,,,,,,,,,
Page 54,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,
Page 55,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,
Page 56,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,
Page 57,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Franjinha,,,,,,,,,,,,
Page 58,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Franjinha,,,,,,,,,,,,
Page 59,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Franjinha,Bidu,Carrapato 1,Carrapato 2,Cadelinha,,,,,,,,
Page 60,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,
Page 61,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Alberto Aíston,,,,,,,,,,,,
Page 62,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Franjinha,Alberto Aíston,,,,,,,,,,,
Page 63,9,Zing Mascarado,Cebolinha,Cascão,Mônica,Alberto Aíston,,,,,,,,,,,,,
Page 64,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Franjinha,Alberto Aíston,,,,,,,,,,,
Page 65,9,Homem de Chumbo,Zing Mascarado,Cebolinha,Cascão,Mônica,Franjinha,Bidu,,,,,,,,,,,
Page 66,9,Cebolinha,Cascão,Sherlock Holmes,,,,,,,,,,,,,,,
Page 67,9,,,,,,,,,,,,,,,,,,
Page 68,9,,,,,,,,,,,,,,,,,,
