Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26
Page 27,1,1,#tdm_23 Duende,#tdm_23 Duende 2,#tdm_23 Duende 3,Papai Noel,,,,,,,,,,,,,,,,,,,,,,
Page 28,1,1,Papai Noel,#tdm_23 Rena 1,#tdm_23 Rena 2,#tdm_23 Rena 3,#tdm_23 Duende,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,2,1,Cascão,,,,,,,,,,,,,,,,,,,,,,,,,
Page 31,2,1,Cascão,Professor Spada / Doutor Spam,Anjinho,,,,,,,,,,,,,,,,,,,,,,,
Page 32,3,1,Cebolinha,Cascão,Mônica,,,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,4,1,Mingau,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,4,1,Mingau,Magali,,,,,,,,,,,,,,,,,,,,,,,,
Page 38,4,1,Mingau,Magali,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,4,1,Mingau,Magali,,,,,,,,,,,,,,,,,,,,,,,,
Page 40,4,1,Mingau,Magali,Dona Lili,,,,,,,,,,,,,,,,,,,,,,,
Page 41,5,1,Teveluisão,Mãe do Teveluisão,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 43,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 44,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 45,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 46,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 47,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 48,5,1,Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,5,1,Teveluisão,Mãe do Teveluisão,Bloguinho,,,,,,,,,,,,,,,,,,,,,,,
Page 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 52,6,1,Cascão,Cebolinha,#tdm_23 Animal 1,,,,,,,,,,,,,,,,,,,,,,,
Page 53,7,1,Chico Bento,#tdm_23 Animal 2,#tdm_23 Animal 3,#tdm_23 Animal 4,,,,,,,,,,,,,,,,,,,,,,
Page 54,7,1,Chico Bento,#tdm_23 Animal 5,#tdm_23 Animal 6,#tdm_23 Animal 7,#tdm_23 Animal 8,,,,,,,,,,,,,,,,,,,,,
Page 55,7,1,Chico Bento,#tdm_23 Animal 9,#tdm_23 Animal 10,#tdm_23 Animal 11,#tdm_23 Animal 12,#tdm_23 Animal 13,,,,,,,,,,,,,,,,,,,,
Page 56,7,1,Chico Bento,#tdm_23 Animal 14,#tdm_23 Animal 15,#tdm_23 Animal 16,#tdm_23 Animal 17,#tdm_23 Animal 18,#tdm_23 Animal 19,#tdm_23 Animal 20,,,,,,,,,,,,,,,,,,
Page 57,7,1,Chico Bento,Rosinha,#tdm_23 Animal 21,#tdm_23 Animal 22,#tdm_23 Animal 23,#tdm_23 Animal 24,,,,,,,,,,,,,,,,,,,,
Page 58,8,1,Piteco,Gronk,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,8,1,Piteco,Gronk,,,,,,,,,,,,,,,,,,,,,,,,
Page 60,8,1,Piteco,Gronk,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 62,9,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 63,9,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 64,9,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 65,9,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 66,10,1,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,
