Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19
Page 26,1,1,Capitão Feio,#1tmj04 Tiozão,#1tmj04 Sobrinho 1,#1tmj04 Sobrinho 2,,,,,,,,,,,,,,,
Page 27,2,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,Capitão Feio,#1tmj04 Cameraman 1,#1tmj04 Repórter 1,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12
Page 28,2,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,Capitão Feio,#1tmj04 Cameraman 1,#1tmj04 Repórter 1,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12
Page 29,2,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,,,,,,,,,,,
Page 30,2,1,Mônica,Cebolinha,Coelho Caolho,Espinho,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,
Page 31,2,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,Garra de Aço,#1tmj04 Cameraman 1,#1tmj04 Repórter 1,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12
Page 32,2,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Garra de Aço,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,
Page 33,2,1,Cebolinha,Cascão,Raposão,Garra de Aço,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,,,,,,,,,,
Page 34,2,1,Mônica,Cebolinha,Magali,Cascão,Euros,,,,,,,,,,,,,,
Page 35,2,1,Cascão,Coelho Caolho,Raposão,Espinho,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,
Page 36.1,2,0.5,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Raposão,Euros,,,,,,,,,,,,
Page 36.2,2,0.5,Capitão Feio,,,,,,,,,,,,,,,,,,
Page 37,2,1,Mônica,Cebolinha,Cascão,Raposão,Espinho,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,,,,,,,,,
Page 38,2,1,Cascão,Raposão,Espinho,#1tmj04 Figurante 3,#1tmj04 Figurante 4,#1tmj04 Figurante 5,#1tmj04 Figurante 6,#1tmj04 Figurante 7,,,,,,,,,,,
Page 39,2,1,#1tmj04 Figurante 8,#1tmj04 Figurante 9,#1tmj04 Figurante 10,#1tmj04 Figurante 11,#1tmj04 Figurante 12,,,,,,,,,,,,,,
Page 40.1,2,0.5,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,,,,,,,,,,,
Page 40.2,2,0.5,Capitão Feio,,,,,,,,,,,,,,,,,,
Page 41.1,2,0.5,Capitão Feio,#1tmj04 Tiozão,,,,,,,,,,,,,,,,,
Page 41.2,2,0.5,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Rei Leonino,Luís Caxeiro,#1tmj04 Guarda Macaco 1,,,,,,,,,,,
Page 42,2,1,Mônica,Cebolinha,Magali,Cascão,Rei Leonino,Luís Caxeiro,,,,,,,,,,,,,
Page 43,2,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,,,,,,,,,,,
Page 44,2,1,Capitão Feio,Yuka,,,,,,,,,,,,,,,,,
Page 45,2,1,Capitão Feio,Yuka,,,,,,,,,,,,,,,,,
Page 46,2,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,,,,,,,,,,,
Page 47,2,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,#1tmj04 Filho 97,,,,,,,,,,,,,
Page 48,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,
Page 49,3,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,
Page 50,3,1,Mônica,Cebolinha,Magali,Cascão,Notus,,,,,,,,,,,,,,
Page 51,3,1,Mônica,Notus,,,,,,,,,,,,,,,,,
Page 52,3,1,Mônica,Cebolinha,Magali,Cascão,Yuka,,,,,,,,,,,,,,
Page 53,3,1,Mônica,Cebolinha,Magali,Cascão,Yuka,#1tmj04 Lobisomem 1,#1tmj04 Lobisomem 2,,,,,,,,,,,,
Page 54,3,1,Mônica,Cebolinha,Capitão Feio,Yuka,,,,,,,,,,,,,,,
Page 55,3,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,Yuka,,,,,,,,,,,,,
Page 56,3,1,Mônica,Cebolinha,Capitão Feio,Yuka,,,,,,,,,,,,,,,
Page 57,3,1,Mônica,Cebolinha,Magali,Cascão,Capitão Feio,,,,,,,,,,,,,,
Page 58,3,1,Capitão Feio,,,,,,,,,,,,,,,,,,
Page 59,3,1,Marina,Denise,Maria Cascuda,,,,,,,,,,,,,,,,
Page 60,3,1,Anjinho,Marina,Denise,Maria Cascuda,,,,,,,,,,,,,,,
Page 61,3,1,Anjinho,Marina,Denise,Maria Cascuda,,,,,,,,,,,,,,,
Page 62,3,1,Anjinho,Marina,Denise,Maria Cascuda,,,,,,,,,,,,,,,
Page 63.1,3,0.5,Anjinho,Marina,Denise,,,,,,,,,,,,,,,,
Page 63.2,3,0.5,Anjinho,Dragão de Poeira,,,,,,,,,,,,,,,,,
Page 64,3,1,Anjinho,Marina,Denise,Maria Cascuda,,,,,,,,,,,,,,,
Page 65,3,1,Anjinho,Marina,Denise,Maria Cascuda,,,,,,,,,,,,,,,
Page 66,3,1,Anjinho,Marina,Denise,Maria Cascuda,Capitão Feio,#1tmj01 Monstro de Poeira 1,#1tmj01 Monstro de Poeira 2,,,,,,,,,,,,
Page 67,3,1,Capitão Feio,,,,,,,,,,,,,,,,,,
Page 68,3,1,Anjinho,Marina,,,,,,,,,,,,,,,,,
Page 69,3,1,Anjinho,Marina,Denise,Maria Cascuda,#1tmj01 Monstro de Poeira 1,#1tmj01 Monstro de Poeira 2,,,,,,,,,,,,,
Page 70,3,1,Mônica,Cebolinha,Magali,Cascão,#1tmj04 Lobisomem 1,#1tmj04 Lobisomem 2,#1tmj04 Lobisomem 3,,,,,,,,,,,,
Page 71,3,1,Mônica,Cebolinha,Magali,Cascão,#1tmj04 Lobisomem 1,#1tmj04 Lobisomem 2,#1tmj04 Lobisomem 3,,,,,,,,,,,,
Page 72,3,1,Mônica,Cebolinha,Cascão,#1tmj04 Lobisomem 3,,,,,,,,,,,,,,,
Page 73,3,1,Mônica,Cebolinha,Magali,Penadinho,#1tmj04 Lobisomem 2,,,,,,,,,,,,,,
Page 74,3,1,Mônica,Cebolinha,Magali,Cascão,Penadinho,Muminho,Zé Vampir,#1tmj04 Lobisomem 1,,,,,,,,,,,
Page 75,3,1,Franjinha,Capitão Feio,,,,,,,,,,,,,,,,,
Page 76,3,1,Franjinha,Prof Falconi,Capitão Feio,,,,,,,,,,,,,,,,
Page 77,3,1,Franjinha,Nimbus,Do Contra,Marina,Denise,Capitão Feio,,,,,,,,,,,,,
Page 78,3,1,Xaveco,Dudu,Titi,Quinzinho,Nimbus,Anjinho,Carminha Frufru,Jeremias,Dorinha,Luca,Franjinha,Marina,Do Contra,Denise,Maria Cascuda,Bidu,Capitão Feio,,
Page 79,3,1,Xaveco,Dudu,Titi,Quinzinho,Nimbus,Anjinho,Carminha Frufru,Jeremias,Dorinha,Luca,Franjinha,Marina,Do Contra,Denise,Maria Cascuda,Bidu,Capitão Feio,,
Page 80,3,1,Franjinha,Marina,Capitão Feio,#1tmj01 Monstro de Poeira 1,#1tmj01 Monstro de Poeira 2,#1tmj04 Monstro de Poeira 3,#1tmj04 Monstro de Poeira 4,,,,,,,,,,,,
Page 81,3,1,Magali,Cascão,Muminho,Zé Vampir,,,,,,,,,,,,,,,
Page 82,3,1,Magali,Cascão,,,,,,,,,,,,,,,,,
Page 83,3,1,Magali,Cascão,Muminho,Zé Vampir,#1tmj04 Monstro 1,,,,,,,,,,,,,,
Page 84,3,1,Magali,Cascão,Muminho,Zé Vampir,#1tmj04 Monstro 1,,,,,,,,,,,,,,
Page 85,3,1,Mônica,Cebolinha,Magali,Cascão,Penadinho,Dona Morte,,,,,,,,,,,,,
Page 86,3,1,Mônica,Magali,Cascão,Dona Morte,,,,,,,,,,,,,,,
Page 87,3,1,Mônica,Cebolinha,Magali,Cascão,Penadinho,Zé Vampir,Dona Morte,,,,,,,,,,,,
Page 88,3,1,Mônica,Cebolinha,Magali,Cascão,Zé Vampir,,,,,,,,,,,,,,
Page 89,3,1,Mônica,Cebolinha,Magali,Cascão,Penadinho,Muminho,Zé Vampir,Dona Morte,,,,,,,,,,,
Page 90,3,1,Franjinha,Marina,#1tmj01 Monstro de Poeira 1,,,,,,,,,,,,,,,,
Page 91,3,1,Franjinha,Marina,Bidu,#1tmj04 Monstro 2,,,,,,,,,,,,,,,
Page 92,3,1,Franjinha,Anjinho,Marina,Bidu,Louco,#1tmj01 Monstro de Poeira 2,#1tmj04 Monstro 3,,,,,,,,,,,,
Page 93,3,1,Denise,Carminha Frufru,Capitão Feio,,,,,,,,,,,,,,,,
Page 94,4,1,Mônica,Cebolinha,Magali,Cascão,Dorinha,Capitão Feio,,,,,,,,,,,,,
Page 95,4,1,Mônica,Cebolinha,Magali,Cascão,Dorinha,Capitão Feio,,,,,,,,,,,,,
Page 96,4,1,Mônica,Cebolinha,Magali,Cascão,Denise,Capitão Feio,,,,,,,,,,,,,
Page 97,4,1,Mônica,Cascão,Franjinha,Titi,Marina,Capitão Feio,,,,,,,,,,,,,
Page 98,4,1,Mônica,Cebolinha,Cascão,Denise,Bóreas,Capitão Feio,Piteco,,,,,,,,,,,,
Page 99,4,1,Mônica,Cebolinha,Denise,Bóreas,,,,,,,,,,,,,,,
Page 100,4,1,Mônica,Cebolinha,Cascão,Anjinho,,,,,,,,,,,,,,,
Page 101,4,1,Mônica,Cebolinha,Magali,Cascão,Anjinho,,,,,,,,,,,,,,
Page 102,4,1,Mônica,Cebolinha,Magali,Cascão,Anjinho,,,,,,,,,,,,,,
Page 103,4,1,Mônica,Capitão Feio,,,,,,,,,,,,,,,,,
Page 104,4,1,Mônica,Bóreas,Capitão Feio,,,,,,,,,,,,,,,,
Page 105,4,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,Capitão Feio,,,,,,,,,,,,,
Page 106,4,1,Magali,Cascão,Franjinha,Quinzinho,Marina,Maria Cascuda,Capitão Feio,Piteco,,,,,,,,,,,
Page 107,4,1,Magali,Quinzinho,Dudu,Capitão Feio,#1tmj04 Policial 1,#1tmj04 Policial 2,,,,,,,,,,,,,
Page 108,4,1,Mônica,Cebolinha,Cascão,Bóreas,Capitão Feio,#1tmj04 Policial 1,#1tmj04 Policial 2,,,,,,,,,,,,
Page 109,4,1,Mônica,Cebolinha,Bóreas,Zephyrus,Euros,Notus,,,,,,,,,,,,,
Page 110,4,1,Mônica,Cebolinha,Magali,Cascão,Bóreas,,,,,,,,,,,,,,
Page 111,4,1,Mônica,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Bóreas,,,,,,,,,,,,,
Page 112.1,4,0.5,Mônica,Bóreas,Zephyrus,Euros,Notus,,,,,,,,,,,,,,
Page 112.2,4,0.5,Mônica,Cebolinha,Magali,Cascão,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,,,,,,,,,,,
Page 113,4,1,Mônica,Cebolinha,Magali,Xaveco,Seu Cebola,Seu Antenor,#1tmj04 Formiga 1,,,,,,,,,,,,
Page 114,4,1,Mônica,Magali,Seu Juca,,,,,,,,,,,,,,,,
Page 115,4,1,Mônica,Cebolinha,Magali,Cascão,Seu Juca,,,,,,,,,,,,,,
Page 116,4,1,Mônica,Cebolinha,Seu Juca,Piteco,,,,,,,,,,,,,,,
Page 117,4,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Marina,Bidu,,,,,,,,,,,,
Page 118,4,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 119,4,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,
Page 120,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,
Page 121,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,
Page 122,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,
Page 123,,1,Denise,Astronauta,,,,,,,,,,,,,,,,,
