Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 62,3,1,Magali,Cabeleira Negra,,,,,,,
Page 63,3,1,Magali,Astronauta,Cabeleira Negra,,,,,,
Page 64,3,1,Magali,Xabéu,Astronauta,Cabeleira Negra,,,,,
Page 65,3,1,Magali,Bloguinho,Astronauta,Computador,,,,,
Page 66,3,1,Magali,Bloguinho,Astronauta,Computador,,,,,
Page 67,3,1,Mônica,Cebolinha,Cascão,Coelho de Ferro,#1tmj_03 Motox 3D 228 2,,,,
Page 68,3,1,Mônica,Cebolinha,Magali,Cascão,Coelho de Ferro,,,,
Page 69,3,1,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 70,3,1,Mônica,Cebolinha,Magali,Cascão,Astronauta,Coelho de Ferro,,,
Page 71,3,1,Cebolinha,Magali,Cascão,Astronauta,Kraker,,,,
Page 72,3,1,Cebolinha,Astronauta,Kraker,,,,,,
Page 73,3,1,Mônica,Cebolinha,Magali,Cascão,Astronauta,Kraker,Coelho de Ferro,,
Page 74.1,3,0.5,Mônica,Kraker,Coelho de Ferro,,,,,,
Page 74.2,3,0.5,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 75,3,1,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 76,3,1,Capitão Feio,Yuka,,,,,,,
Page 77,3,1,Cebolinha,Magali,Cascão,Bloguinho,,,,,
Page 78,3,1,Cebolinha,Magali,Cascão,Zephyrus,,,,,
Page 79,3,1,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Kraker,Coelho de Ferro,,
Page 80,3,1,Cebolinha,Magali,Cascão,Bloguinho,,,,,
Page 81,3,1,Cebolinha,Astronauta,,,,,,,
Page 82,3,1,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 83,3,1,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 84,3,1,Cebolinha,Astronauta,Capitão Feio,,,,,,
Page 85,3,1,Cebolinha,Cascão,Capitão Feio,Kraker,,,,,
Page 86,3,1,Cebolinha,Magali,Cascão,Astronauta,Capitão Feio,,,,
Page 87,3,1,Cebolinha,Capitão Feio,,,,,,,
Page 88,3,1,Cebolinha,Magali,Cascão,Capitão Feio,#1tmj_03 Motox 3D 228 2,,,,
Page 89,3,1,Cebolinha,Magali,Cascão,Bloguinho,Capitão Feio,#1tmj_03 Motox 3D 228 2,,,
Page 90,3,1,Mônica,Cebolinha,Kraker,Coelho de Ferro,,,,,
Page 91,3,1,Mônica,Cebolinha,Coelho de Ferro,,,,,,
Page 92,3,1,Mônica,Cebolinha,Capitão Feio,Lorde Coelhão,,,,,
Page 93,3,1,Mônica,Cebolinha,Astronauta,Capitão Feio,Lorde Coelhão,,,,
Page 94,3,1,Mônica,Cebolinha,Astronauta,Capitão Feio,,,,,
Page 95,3,1,Capitão Feio,Yuka,,,,,,,
Page 96,3,1,Capitão Feio,Yuka,,,,,,,
Page 97,3,1,Capitão Feio,Yuka,,,,,,,
Page 98,3,1,Capitão Feio,Yuka,,,,,,,
Page 99,3,1,Mônica,Cebolinha,Magali,Cascão,Xabéu,Astronauta,Computador,,
Page 100,3,1,Mônica,Cebolinha,Magali,Cascão,Bloguinho,Robóris,,,
Page 101,3,1,Mônica,Cebolinha,Magali,Cascão,Bloguinho,Coelho de Ferro,#1tmj_03 Figurante 5,#1tmj_03 Figurante 6,#1tmj_03 Figurante 7
Page 102,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 103,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 104,4,1,Mônica,Cebolinha,Magali,Cascão,Euros,,,,
Page 105,4,1,Mônica,Cebolinha,Magali,Cascão,Euros,,,,
Page 106,4,1,Mônica,Cebolinha,Magali,Cascão,#1tmj_03 Formiga 1,#1tmj_03 Formiga 2,,,
Page 107,4,1,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,
Page 108,4,1,Mônica,Cebolinha,Coelho Caolho,,,,,,
Page 109,4,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 110,4,1,Magali,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Coelho Caolho,,,
Page 111,4,1,Cebolinha,Cascão,Coelho Caolho,Euros,,,,,
Page 112,4,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 113,4,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 114,4,1,Imperador Japonês Sec XVI,#1tmj_03 Guarda 1,,,,,,,
Page 115,4,1,#1tmj_03 Rei Henrique IV,#1tmj_03 Rei James I,#1tmj_03 Dom João V,#1tmj_03 Felipe III,,,,,
Page 116.1,4,0.5,Cascão,Coelho Caolho,,,,,,,
Page 116.2,4,0.5,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,,,,
Page 117,4,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,,,,
Page 118,4,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,,,,,
Page 119.1,4,0.5,Mônica,Coelho Caolho,,,,,,,
Page 119.2,4,0.5,Bóreas,Zephyrus,Euros,Notus,,,,,
Page 120,4,1,Mônica,Cebolinha,Coelho Caolho,,,,,,
Page 121,4,1,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,
Page 122,4,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,
Page 123,4,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,
Page 124,4,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Capitão Feio,Yuka,,
Page 125,4,1,Capitão Feio,Yuka,,,,,,,
Page 126,4,1,Yuka,Le Kin,Don Dinho,Espinho,Garra de Aço,,,,
Page 127,,,,,,,,,,,
Page 128,,,,,,,,,,,
Page 129,,,,,,,,,,,
Page 130,,,,,,,,,,,
Page 131,,,,,,,,,,,
Page 132,,1,Franjinha,Marina,,,,,,,
