Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 45,5,1,Dudu,Lactos Kid,Milhus,Ervilhus,Macarrônios,Povo Feijônico,Monstro Q.I. Jo,,,,,,,,,
Page 46,5,1,Dudu,Dona Cecília,Lactos Kid,Milhus,Ervilhus,Povo Feijônico,,,,,,,,,,
Page 47,,,,,,,,,,,,,,,,,,
Page 48,6,1,Bidu,Franjinha,Cebolinha,,,,,,,,,,,,,
Page 49,6,1,Bidu,Cebolinha,Mônica,Cascão,,,,,,,,,,,,
Page 50,7,1,Astronauta,Monstro Verde Grande,Monstro Rosa,,,,,,,,,,,,,
Page 51,7,1,Astronauta,Monstro Rosa,Monstro Verde Pequeno,,,,,,,,,,,,,
Page 52,8,1,Zé Lelé,gibi 1 Figurante 2,gibi 1 Figurante 3,gibi 1 Atendente 5,Galinha do Zé Lelé,Pintinho,,,,,,,,,,
Page 53,8,1,Zé Lelé,Galinha do Zé Lelé,gibi 1 Atendente 5,gibi 1 Atendente 6,gibi 1 Criança 2,gibi 1 Criança 3,gibi 1 Criança 4,gibi 1 Criança 5,gibi 1 Criança 6,gibi 1 Criança 7,gibi 1 Criança 8,gibi 1 Criança 9,gibi 1 Criança 10,gibi 1 Criança 11,gibi 1 Criança 12,gibi 1 Criança 13
Page 54,,,,,,,,,,,,,,,,,,
Page 55,9,1,Zé Lelé,Galinha do Zé Lelé,Dona Lalá,gibi 1 Criança 14,gibi 1 Criança 15,gibi 1 Criança 16,gibi 1 Criança 17,,,,,,,,,
Page 56,9,1,Lobi,Cachorro 1,Cachorro 2,Peixe,Pássaro,Menino de cabelo laranja e camisa verde,,,,,,,,,,
Page 57,9,1,Lobi,Cachorro 1,Cachorro 2,gibi 1 Criança 18,gibi 1 Figurante 4,,,,,,,,,,,
Page 58,10,1,Mônica,Franjinha,Bidu,,,,,,,,,,,,,
Page 59,10,1,Mônica,Magali,Mingau,Cebolinha,Floquinho,,,,,,,,,,,
Page 60,11,1,Tina,Pipa,,,,,,,,,,,,,,
Page 61,11,1,Tina,Pipa,Serginho,,,,,,,,,,,,,
Page 62,11,1,Tina,Pipa,Serginho,,,,,,,,,,,,,
Page 63,11,1,Tina,Pipa,,,,,,,,,,,,,,
Page 64,11,1,Tina,Pipa,Serginho,,,,,,,,,,,,,
Page 65,11,1,Tina,Pipa,Serginho,,,,,,,,,,,,,
Page 66,12,1,Zé Vampir,Muminho,Penadinho,Cranicóla,,,,,,,,,,,,
