Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14
Page 58,1,1,Mônica,Magali,Dona Luísa,#1tmj_05 Figurante 13,#1tmj_05 Figurante 14,#1tmj_05 Sombra 15,#1tmj_05 Sombra 16,#1tmj_05 Sombra 17,,,,,,
Page 59,1,1,Mônica,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,
Page 60,1,1,Mônica,Cebolinha,Magali,Denise,Maria Cascuda,,,,,,,,,
Page 61,1,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 62,1,1,Mônica,Cebolinha,Denise,,,,,,,,,,,
Page 63,1,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 64,1,1,Magali,Denise,Maria Cascuda,Dona Luísa,,,,,,,,,,
Page 65,1,1,Mônica,Cebolinha,Denise,Dona Luísa,,,,,,,,,,
Page 66,1,1,Mônica,Cebolinha,Magali,Denise,Maria Cascuda,,,,,,,,,
Page 67,1,1,,,,,,,,,,,,,,
Page 68,2,1,Mônica,Magali,#1tmj_05 Figurante 15,#1tmj_05 Figurante 16,,,,,,,,,,
Page 69,2,1,Mônica,Magali,#1tmj_05 Sombra 18,,,,,,,,,,,
Page 70,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 71,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 72,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 73,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 74,2,1,Mônica,Magali,Denise,Prof Rubens,,,,,,,,,,
Page 75,2,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 76,2,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,
Page 77,2,1,Mônica,Cebolinha,Cascão,Sansão,,,,,,,,,,
Page 78,2,1,Mônica,Cebolinha,Magali,Cascão,Xaveco,Denise,Prof Rubens,#1tmj_05 Figurante 17,#1tmj_05 Figurante 18,,,,,
Page 79,2,1,Mônica,Magali,Denise,Sansão,,,,,,,,,,
Page 80,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 81,2,1,Mônica,Denise,Sansão,,,,,,,,,,,
Page 82,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 83,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 84,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 85,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 86,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 87,2,1,Mônica,Denise,,,,,,,,,,,,
Page 88.1,2,0.5,Mônica,Magali,Denise,,,,,,,,,,,
Page 88.2,2,0.5,Cebolinha,Cascão,Titi,,,,,,,,,,,
Page 89,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 90,2,1,Mônica,Magali,Sansão,,,,,,,,,,,
Page 91,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 92,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 93,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 94,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 95,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 96,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 97,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 98,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 99,2,1,Magali,Denise,,,,,,,,,,,,
Page 100,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 101,2,1,Mônica,Magali,,,,,,,,,,,,
Page 102,2,1,Mônica,Magali,,,,,,,,,,,,
Page 103,2,1,Mônica,Magali,,,,,,,,,,,,
Page 104,2,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 105,2,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 106,2,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 107,2,1,Mônica,Cebolinha,,,,,,,,,,,,
Page 108,2,1,Mônica,Cebolinha,Cascão,Titi,#1tmj_05 Figurante 19,#1tmj_05 Figurante 20,#1tmj_05 Figurante 21,#1tmj_05 Figurante 22,#1tmj_05 Figurante 23,#1tmj_05 Figurante 24,#1tmj_05 Figurante 25,#1tmj_05 Figurante 26,#1tmj_05 Figurante 27,#1tmj_05 Figurante 28
Page 109,2,1,Mônica,Cebolinha,Cascão,Titi,#1tmj_05 Figurante 19,#1tmj_05 Figurante 20,#1tmj_05 Figurante 21,#1tmj_05 Figurante 22,#1tmj_05 Figurante 23,#1tmj_05 Figurante 24,#1tmj_05 Figurante 25,#1tmj_05 Figurante 26,#1tmj_05 Figurante 27,#1tmj_05 Figurante 28
Page 110,2,1,Mônica,Cascão,Titi,,,,,,,,,,,
Page 111,2,1,Mônica,Cebolinha,Cascão,Titi,,,,,,,,,,
Page 112,2,1,Mônica,Cebolinha,Cascão,,,,,,,,,,,
Page 113.1,2,0.5,Mônica,Cascão,,,,,,,,,,,,
Page 113.2,2,0.5,Mônica,Cebolinha,Magali,Cascão,Titi,Denise,#1tmj_05 Figurante 24,#1tmj_05 Figurante 25,#1tmj_05 Figurante 26,#1tmj_05 Figurante 27,#1tmj_05 Figurante 28,#1tmj_05 Figurante 29,#1tmj_05 Figurante 30,
Page 114,2,1,Mônica,Magali,Denise,,,,,,,,,,,
Page 115,2,1,Mônica,Cebolinha,Magali,Cascão,Titi,Denise,#1tmj_05 Figurante 28,#1tmj_05 Figurante 30,,,,,,
Page 116,3,1,Cebolinha,Cascão,Titi,,,,,,,,,,,
Page 117,3,1,Cebolinha,Cascão,Titi,Seu Cebola,,,,,,,,,,
Page 118,3,1,Cebolinha,Cascão,Titi,,,,,,,,,,,
Page 119,3,1,Cebolinha,Cascão,Titi,Seu Cebola,,,,,,,,,,
Page 120,3,1,Cebolinha,Cascão,,,,,,,,,,,,
Page 121,3,1,Cebolinha,Cascão,Titi,Seu Cebola,,,,,,,,,,
Page 122,3,1,Cebolinha,Cascão,Titi,Seu Cebola,,,,,,,,,,
Page 123,3,1,Cebolinha,Cascão,Titi,Seu Cebola,,,,,,,,,,
Page 124,3,1,Mônica,Cebolinha,Cascão,Titi,Floquinho,,,,,,,,,
Page 125,3,1,Cebolinha,Cascão,Titi,,,,,,,,,,,
Page 126,3,1,Cebolinha,Cascão,,,,,,,,,,,,
Page 127,3,1,Cascão,Seu Antenor,,,,,,,,,,,,
Page 128,,,,,,,,,,,,,,,,
Page 129,,,,,,,,,,,,,,,,
Page 130,,,,,,,,,,,,,,,,
Page 131,,,,,,,,,,,,,,,,
Page 132,,1,Anjinho,,,,,,,,,,,,,
