Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27
Page 19,1,1,Cascão,Cebolinha,Sansão,Mônica,Magali,#tdm17 Mãe 1,#tdm17 Atendente 1,#tdm17 Criança 5,#tdm17 Criança 6,#tdm17 Sombra 1,#tdm17 Sombra 2,#tdm17 Sombra 3,#tdm17 Sombra 4,#tdm17 Sombra 5,#tdm17 Sombra 6,#tdm17 Sombra 7,#tdm17 Sombra 8,#tdm17 Sombra 9,#tdm17 Sombra 10,#tdm17 Sombra 11,#tdm17 Sombra 12,#tdm17 Sombra 13,#tdm17 Sombra 14,,,,
Page 20,1,1,Cebolinha,Sansão,Mônica,#tdm17 Atendente 2,#tdm17 Criança 7,#tdm17 Criança 8,#tdm17 Criança 9,#tdm17 Criança 10,#tdm17 Criança 11,#tdm17 Criança 12,#tdm17 Criança 13,,,,,,,,,,,,,,,,
Page 21,1,1,Cascão,Cebolinha,Sansão,Mônica,Magali,,,,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Cascão,Cebolinha,#tdm17 Criança 14,#tdm17 Sombra 15,#tdm17 Sombra 16,,,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Cebolinha,#tdm17 Pai 1,#tdm17 Pai 2, Gnomo do Papai Noel 1, Gnomo do Papai Noel 2, Gnomo do Papai Noel 3,#tdm17 Criança 15,#tdm17 Criança 16,#tdm17 Criança 17,#tdm17 Criança 18,#tdm17 Criança 19,#tdm17 Criança 20,#tdm17 Criança 21,#tdm17 Sombra 17,#tdm17 Sombra 18,#tdm17 Sombra 19,#tdm17 Sombra 20,#tdm17 Sombra 21,#tdm17 Sombra 22,#tdm17 Sombra 23,#tdm17 Sombra 24,#tdm17 Sombra 25,#tdm17 Sombra 26,#tdm17 Sombra 27,#tdm17 Sombra 28,#tdm17 Sombra 29,#tdm17 Sombra 30
Page 25,1,1,Cebolinha,Sansão,#tdm17 Pai 3,#tdm17 Criança 22,#tdm17 Sombra 31,#tdm17 Sombra 32,#tdm17 Sombra 33,#tdm17 Sombra 34,,,,,,,,,,,,,,,,,,,
Page 26,1,1,Cebolinha,Sansão,Mônica,,,,,,,,,,,,,,,,,,,,,,,,
Page 27,1,1,Cebolinha,Mônica,Papai Noel, Gnomo do Papai Noel 4,#tdm17 Figurante 18,#tdm17 Sombra 35,#tdm17 Sombra 36,#tdm17 Sombra 37,#tdm17 Sombra 38,#tdm17 Sombra 39,#tdm17 Sombra 40,#tdm17 Sombra 41,#tdm17 Sombra 42,#tdm17 Sombra 43,#tdm17 Sombra 44,#tdm17 Sombra 45,#tdm17 Sombra 46,,,,,,,,,,
Page 28,2,1,Nico Demo,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 29,2,1,Nico Demo,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,3,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 31,3,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,4,1,Zé Lelé,Maria Cafufa,#tdm17 Animal 1,,,,,,,,,,,,,,,,,,,,,,,,
Page 38,4,1,Zé Lelé,Maria Cafufa,#tdm17 Animal 1,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,4,1,Zé Lelé,Maria Cafufa,#tdm17 Animal 2,#tdm17 Animal 3,,,,,,,,,,,,,,,,,,,,,,,
Page 40,4,1,Zé Lelé,Maria Cafufa,#tdm17 Animal 2,,,,,,,,,,,,,,,,,,,,,,,,
Page 41,4,1,Zé Lelé,Maria Cafufa,,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,4,1,Zé Lelé,Maria Cafufa,#tdm17 Animal 2,#tdm17 Animal 3,,,,,,,,,,,,,,,,,,,,,,,
Page 43,4,1,Zé Lelé,Maria Cafufa,,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,5,1,#tdm17 Figurante 19,#tdm17 Figurante 20,,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,6,1,Mônica,Sansão,Cascão,Maria Cascuda,Titi,Aninha,,,,,,,,,,,,,,,,,,,,,
Page 47,6,1,Mônica,Sansão,Magali,Quinzinho,Cebolinha,,,,,,,,,,,,,,,,,,,,,,
Page 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,7,1,Cascão,Cebolinha,Magali,Mônica,Bidu,Homem de Chumbo,Zing Mascarado,Alberto Aíston,,,,,,,,,,,,,,,,,,,
Page 50,7,1,Magali,Sônico,,,,,,,,,,,,,,,,,,,,,,,,,
Page 51,7,1,Magali,Cebolinha,Cascão,Mônica,Sansão,Sônico,,,,,,,,,,,,,,,,,,,,,
Page 52,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,,,,,,,,,,,,,,,,,,,,,,
Page 53,7,1,Cebolinha,Cascão,Mônica,Sônico,Franjinha,Bidu,,,,,,,,,,,,,,,,,,,,,
Page 54,7,1,Cebolinha,Cascão,Mônica,Magali,Franjinha,Sansão,,,,,,,,,,,,,,,,,,,,,
Page 55,7,1,Cebolinha,Cascão,Mônica,Franjinha,Sansão,,,,,,,,,,,,,,,,,,,,,,
Page 56,7,1,Magali,Cebolinha,Cascão,Mônica,Franjinha,Sônico,,,,,,,,,,,,,,,,,,,,,
Page 57,7,1,Magali,Cebolinha,Cascão,Mônica,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,
Page 58,7,1,Seu Cebola,Dona Cebola,,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,7,1,Magali,Cebolinha,Cascão,Mônica,Franjinha,Sônico,Alberto Aíston,#tdm17 Figurante 21,#tdm17 Figurante 22,#tdm17 Figurante 23,#tdm17 Figurante 24,#tdm17 Sombra 47,#tdm17 Sombra 48,,,,,,,,,,,,,,
Page 60,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,Alberto Aíston, Personagem de jogo,,,,,,,,,,,,,,,,,,,,
Page 61,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,Alberto Aíston, Personagem de jogo,Princesa Pesseguinho,,,,,,,,,,,,,,,,,,,
Page 62,7,1,Magali,Cebolinha,Cascão,Mônica,Sônico,Alberto Aíston,Zelda,Pacman,,,,,,,,,,,,,,,,,,,
Page 63,7,1,Cebolinha,Bloguinho,Cascão,Franjinha,Sônico,Mario Vermelho,Mônica,,,,,,,,,,,,,,,,,,,,
Page 64,7,1,Sônico,Mônica,Cascão,Bloguinho,Alberto Aíston,Homem de Chumbo,Zing Mascarado,Magali,Cebolinha,Franjinha, Personagem de jogo 2,,,,,,,,,,,,,,,,
Page 65,7,1, Personagem de jogo 2, Personagem de jogo 3,Magali,Mônica,Cebolinha,Franjinha,Bloguinho,Sônico,Cascão,Alberto Aíston, Personagem de jogo 4, Personagem de jogo 5,Pacman,,,,,,,,,,,,,,
Page 66,8,1,Do Contra,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
