Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 76,3,1,Cebolinha,Astronauta,,,,,,,
Page 77,3,1,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 78,3,1,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 79,3,1,Cebolinha,Astronauta,Capitão Feio,,,,,,
Page 80,3,1,Cebolinha,Cascão,Capitão Feio,Kraker,,,,,
Page 81,3,1,Cebolinha,Magali,Cascão,Astronauta,Capitão Feio,,,,
Page 82,3,1,Cebolinha,Capitão Feio,,,,,,,
Page 83,3,1,Cebolinha,Magali,Cascão,Capitão Feio,#1tmj03 Motox 3D 228 2,,,,
Page 84,3,1,Cebolinha,Magali,Cascão,Bloguinho,Capitão Feio,#1tmj03 Motox 3D 228 2,,,
Page 85,3,1,Mônica,Cebolinha,Kraker,Coelho de Ferro,,,,,
Page 86,3,1,Mônica,Cebolinha,Coelho de Ferro,,,,,,
Page 87,3,1,Mônica,Cebolinha,Capitão Feio,Lorde Coelhão,,,,,
Page 88,3,1,Mônica,Cebolinha,Astronauta,Capitão Feio,Lorde Coelhão,,,,
Page 89,3,1,Mônica,Cebolinha,Astronauta,Capitão Feio,,,,,
Page 90,3,1,Capitão Feio,Yuka,,,,,,,
Page 91,3,1,Capitão Feio,Yuka,,,,,,,
Page 92,3,1,Capitão Feio,Yuka,,,,,,,
Page 93,3,1,Capitão Feio,Yuka,,,,,,,
Page 94,3,1,Mônica,Cebolinha,Magali,Cascão,Xabéu,Astronauta,Computador,,
Page 95,3,1,Mônica,Cebolinha,Magali,Cascão,Bloguinho,Robóris,,,
Page 96,3,1,Mônica,Cebolinha,Magali,Cascão,Bloguinho,Coelho de Ferro,#1tmj03 Figurante 5,#1tmj03 Figurante 6,#1tmj03 Figurante 7
Page 97,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 98,4,1,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 99,4,1,Mônica,Cebolinha,Magali,Cascão,Euros,,,,
Page 100,4,1,Mônica,Cebolinha,Magali,Cascão,Euros,,,,
Page 101,4,1,Mônica,Cebolinha,Magali,Cascão,#1tmj03 Formiga 1,#1tmj03 Formiga 2,,,
Page 102,4,1,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,
Page 103,4,1,Mônica,Cebolinha,Coelho Caolho,,,,,,
Page 104,4,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 105,4,1,Magali,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Coelho Caolho,,,
Page 106,4,1,Cebolinha,Cascão,Coelho Caolho,Euros,,,,,
Page 107,4,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 108,4,1,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 109,4,1,Imperador Japonês Sec XVI,#1tmj03 Guarda 1,,,,,,,
Page 110,4,1,#1tmj03 Rei Henrique IV,#1tmj03 Rei James I,#1tmj03 Dom João V,#1tmj03 Felipe III,,,,,
Page 111.1,4,0.5,Cascão,Coelho Caolho,,,,,,,
Page 111.2,4,0.5,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,,,,
Page 112,4,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador Japonês Sec XVI,,,,
Page 113,4,1,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,,,,,
Page 114.1,4,0.5,Mônica,Coelho Caolho,,,,,,,
Page 114.2,4,0.5,Bóreas,Zephyrus,Euros,Notus,,,,,
Page 115,4,1,Mônica,Cebolinha,Coelho Caolho,,,,,,
Page 116,4,1,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,
Page 117,4,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,
Page 118,4,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,
Page 119,4,1,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Capitão Feio,Yuka,,
Page 120,4,1,Capitão Feio,Yuka,,,,,,,
Page 121,4,1,Yuka,Le Kin,Don Dinho,Espinho,Garra de Aço,,,,
Page 122,,1,Franjinha,Marina,,,,,,,
