Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9
Page 57,3,Magali,Xabéu,Astronauta,Cabeleira Negra,,,,,
Page 58,3,Magali,Bloguinho,Astronauta,Computador,,,,,
Page 59,3,Magali,Bloguinho,Astronauta,Computador,,,,,
Page 60,3,Mônica,Cebolinha,Cascão,Coelho de Ferro,Motox 3D 228 2,,,,
Page 61,3,Mônica,Cebolinha,Magali,Cascão,Coelho de Ferro,,,,
Page 62,3,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 63,3,Mônica,Cebolinha,Magali,Cascão,Astronauta,Coelho de Ferro,,,
Page 64,3,Cebolinha,Magali,Cascão,Astronauta,Kraker,,,,
Page 65,3,Cebolinha,Astronauta,Kraker,,,,,,
Page 66,3,Mônica,Cebolinha,Magali,Cascão,Astronauta,Kraker,Coelho de Ferro,,
Page 67,3,Mônica,Kraker,Coelho de Ferro,Franjinha,Prof Falconi,Capitão Feio,Yuka,,
Page 68,3,Franjinha,Prof Falconi,Capitão Feio,Yuka,,,,,
Page 69,3,Capitão Feio,Yuka,,,,,,,
Page 70,3,Cebolinha,Magali,Cascão,Bloguinho,,,,,
Page 71,3,Cebolinha,Magali,Cascão,Zephyrus,,,,,
Page 72,3,Mônica,Cebolinha,Magali,Cascão,Zephyrus,Kraker,Coelho de Ferro,,
Page 73,3,Cebolinha,Magali,Cascão,Bloguinho,,,,,
Page 74,3,Cebolinha,Astronauta,,,,,,,
Page 75,3,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 76,3,Cebolinha,Magali,Cascão,Astronauta,,,,,
Page 77,3,Cebolinha,Astronauta,Capitão Feio,,,,,,
Page 78,3,Cebolinha,Cascão,Capitão Feio,Kraker,,,,,
Page 79,3,Cebolinha,Magali,Cascão,Astronauta,Capitão Feio,,,,
Page 80,3,Cebolinha,Capitão Feio,,,,,,,
Page 81,3,Cebolinha,Magali,Cascão,Capitão Feio,Motox 3D 228 2,,,,
Page 82,3,Cebolinha,Magali,Cascão,Bloguinho,Capitão Feio,,,,
Page 83,3,Mônica,Cebolinha,Kraker,Coelho de Ferro,,,,,
Page 84,3,Mônica,Cebolinha,Coelho de Ferro,,,,,,
Page 85,3,Mônica,Cebolinha,Capitão Feio,Lorde Coelhão,,,,,
Page 86,3,Mônica,Cebolinha,Astronauta,Capitão Feio,Lorde Coelhão,,,,
Page 87,3,Mônica,Cebolinha,Astronauta,Capitão Feio,,,,,
Page 88,3,Capitão Feio,Yuka,,,,,,,
Page 89,3,Capitão Feio,Yuka,,,,,,,
Page 90,3,Capitão Feio,Yuka,,,,,,,
Page 91,3,Capitão Feio,Yuka,,,,,,,
Page 92,3,Mônica,Cebolinha,Magali,Cascão,Xabéu,Astronauta,Computador,,
Page 93,3,Mônica,Cebolinha,Magali,Cascão,Bloguinho,Robóris,,,
Page 94,3,Mônica,Cebolinha,Magali,Cascão,Bloguinho,Coelho de Ferro,,,
Page 95,4,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 96,4,Mônica,Cebolinha,Magali,Cascão,,,,,
Page 97,4,Mônica,Cebolinha,Magali,Cascão,Euros,,,,
Page 98,4,Mônica,Cebolinha,Magali,Cascão,Euros,,,,
Page 99,4,Mônica,Cebolinha,Magali,Cascão,Formiga 1,Formiga 2,,,
Page 100,4,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,
Page 101,4,Mônica,Cebolinha,Coelho Caolho,,,,,,
Page 102,4,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 103,4,Magali,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Coelho Caolho,,,
Page 104,4,Cebolinha,Cascão,Coelho Caolho,Euros,,,,,
Page 105,4,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 106,4,Mônica,Cebolinha,Cascão,Coelho Caolho,,,,,
Page 107,4,Imperador,Guarda 1,,,,,,,
Page 108,4,Rei Henrique IV,Rei James I,Dom João V,Felipe III,,,,,
Page 109,4,Cascão,Coelho Caolho,,,,,,,
Page 110,4,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,Imperador,,,,
Page 111,4,Dona Luísa,Seu Cebola,Dona Lili,Seu Antenor,,,,,
Page 112,4,Mônica,Coelho Caolho,,,,,,,
Page 113,4,Mônica,Cebolinha,Coelho Caolho,,,,,,
Page 114,4,Mônica,Cebolinha,Magali,Coelho Caolho,,,,,
Page 115,4,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,
Page 116,4,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,,,,
Page 117,4,Mônica,Cebolinha,Magali,Cascão,Coelho Caolho,Capitão Feio,Yuka,,
Page 118,4,Capitão Feio,Yuka,,,,,,,
Page 119,4,Yuka,Le Kin,Don Dinho,Espinho,Garra de Aço,,,,
Page 120,,Franjinha,Marina,,,,,,,
