Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17
Page 47,Astronauta,,,,,,,,,,,,,,,,
Page 48,Astronauta,Astronauta do Futuro,,,,,,,,,,,,,,,
Page 49,Astronauta,Astronauta do Futuro,,,,,,,,,,,,,,,
Page 50,Astronauta,Mãe do Astronauta,Pai do Astronauta,,,,,,,,,,,,,,
Page 51,Zé Caveirinha,Cachorro,,,,,,,,,,,,,,,
Page 52,Cebolinha,Sansão,,,,,,,,,,,,,,,
Page 53,Cebolinha,Sansão,Monicão,,,,,,,,,,,,,,
Page 54,Cebolinha,Sansão,Monicão,,,,,,,,,,,,,,
Page 55,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 56,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 57,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 58,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 59,Cebolinha,Sansão,Monicão,Mônica,,,,,,,,,,,,,
Page 60,Cebolinha,Sansão,Monicão,Mônica,Cascão,,,,,,,,,,,,
Page 61,Penadinho,Alminha,,,,,,,,,,,,,,,
