Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22
Page 51,2,1,Bugu,Bidu, Paçoquinha, Atropelado, Farofa, Condessa, Filhote 1, Filhote 2, Filhote 3, Filhote 4, Filhote 5, Filhote 6,,,,,,,,,,
Page 52,2,1,Bugu,Bidu, Cachorro 1, Cachorro 2,Cebolinha,Floquinho,Mônica,Monicão,Magali,Mingau,Franjinha,Dorinha,Cachorro da Dorinha,,,,,,,,,
Page 53,2,1,Bugu,Bidu, Atropelado, Paçoquinha, Farofa, Lorde Orelhão, Condessa, Filhote 1, Filhote 2, Filhote 3, Filhote 4,#tdm14 Figurante 8,#tdm14 Figurante 9,#tdm14 Figurante 10,#tdm14 Figurante 11,#tdm14 Figurante 12,,,,,,
Page 54,2,1,Bugu,Bidu,Manfredo,,,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,,,,
Page 56,3,1,Magali,#tdm14 Figurante 13,#tdm14 Figurante 14,,,,,,,,,,,,,,,,,,,
Page 57,3,1,Magali,#tdm14 Figurante 15,Mônica,Dona Luísa,,,,,,,,,,,,,,,,,,
Page 58,4,1,Dona Morte, Homem 1, Homem 2, Homem 3,,,,,,,,,,,,,,,,,,
Page 59,4,1,Dona Morte, Homem 3, Homem 2, Homem 1,,,,,,,,,,,,,,,,,,
Page 60,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 62,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 63,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 64,5,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,
Page 65,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 66,6,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,,
