Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13
Page 18,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 19,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 20,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 21,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 22,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 23,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 24,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 25,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 26,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 27,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 1,,,,,,,,,,
Page 28,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 1,,,,,,,,,,
Page 29,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 1,,,,,,,,,,
Page 30,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 1,,,,,,,,,,
Page 31,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 1,,,,,,,,,,
Page 32,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 2,,,,,,,,,,
Page 33,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 2,,,,,,,,,,
Page 34,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 35,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 2,,,,,,,,,,
Page 36,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 37,2,1,Mônica,#1tmj_10 Lutador 3,#1tmj_10 Lutador 4,#1tmj_10 Lutador 5,,,,,,,,,
Page 38,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 3,#1tmj_10 Lutador 4,#1tmj_10 Lutador 5,,,,,,,,
Page 39,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 6,#1tmj_10 Lutador 7,#1tmj_10 Lutador 8,,,,,,,,
Page 40,2,1,Mônica,Cebolinha,Lorde Vampiro Imortal das Trevas,,,,,,,,,,
Page 41,2,1,Mônica,Cebolinha,Lorde Vampiro Imortal das Trevas,,,,,,,,,,
Page 42,2,1,Mônica,Cebolinha,Lorde Vampiro Imortal das Trevas,,,,,,,,,,
Page 43,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 44,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 45,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 46,2,1,Mônica,Cebolinha,#1tmj_10 Lutador 1,#1tmj_10 Lutador 4,#1tmj_10 Lutador 5,#1tmj_10 Lutador 6,,,,,,,
Page 47,2,1,Mônica,Cebolinha,,,,,,,,,,,
Page 48,2,1,Mônica,Magali,,,,,,,,,,,
Page 49,3,1,Cleópatra Esfíngia,,,,,,,,,,,,
Page 50,3,1,Mônica,Magali,Cleópatra Esfíngia,#1tmj_10 Figurante 1,#1tmj_10 Figurante 2,#1tmj_10 Figurante 3,#1tmj_10 Figurante 4,#1tmj_10 Figurante 5,#1tmj_10 Figurante 6,,,,
Page 51,3,1,Mônica,Magali,Cleópatra Esfíngia,#1tmj_10 Sombra 1,#1tmj_10 Sombra 2,#1tmj_10 Sombra 3,#1tmj_10 Sombra 4,,,,,,
Page 52,3,1,Mônica,Magali,,,,,,,,,,,
Page 53,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 54,3,1,Mônica,Magali,Cleópatra Esfíngia,#1tmj_10 Sombra 5,#1tmj_10 Figurante 7,#1tmj_10 Figurante 8,#1tmj_10 Figurante 9,#1tmj_10 Figurante 10,#1tmj_10 Figurante 11,,,,
Page 55,3,1,Mônica,Magali,Denise,Carminha Frufru,,,,,,,,,
Page 56,3,1,Mônica,Magali,Denise,Carminha Frufru,,,,,,,,,
Page 57,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,#1tmj_10 Figurante 12,#1tmj_10 Figurante 13,#1tmj_10 Figurante 14,#1tmj_10 Figurante 15,,,,
Page 58,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,
Page 59,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,
Page 60,3,1,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,,
Page 61,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 62,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 63,3,1,Denise,Carminha Frufru,Cleópatra Esfíngia,#1tmj_10 Figurante 16,#1tmj_10 Figurante 17,#1tmj_10 Figurante 18,#1tmj_10 Figurante 19,#1tmj_10 Sombra 6,#1tmj_10 Sombra 7,#1tmj_10 Sombra 8,#1tmj_10 Sombra 9,#1tmj_10 Sombra 10,#1tmj_10 Sombra 11
Page 64,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 65,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,
Page 66,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,
Page 67,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,#1tmj_10 Sombra 12,#1tmj_10 Figurante 20,#1tmj_10 Figurante 21,#1tmj_10 Figurante 22,#1tmj_10 Figurante 23,#1tmj_10 Figurante 24,#1tmj_10 Figurante 25,
Page 68,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,
Page 69,3,1,Mônica,Magali,,,,,,,,,,,
Page 70,3,1,Mônica,Magali,,,,,,,,,,,
Page 71,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,#1tmj_10 Figurante 26,#1tmj_10 Figurante 27,#1tmj_10 Figurante 28,#1tmj_10 Figurante 29,#1tmj_10 Figurante 30,#1tmj_10 Figurante 31,#1tmj_10 Figurante 32,
Page 72,3,1,Mônica,Magali,Denise,Cleópatra Esfíngia,,,,,,,,,
Page 73,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 74,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 75,3,1,Mônica,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,,
Page 76,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,
Page 77,3,1,Mônica,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,,
Page 78,3,1,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,,,,,,,,,
Page 79,3,1,Mônica,Magali,Denise,Carminha Frufru,Cleópatra Esfíngia,#1tmj_10 Homem Fantasiado de Dinossauro,,,,,,,
Page 80,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 81,3,1,Mônica,Magali,Cleópatra Esfíngia,,,,,,,,,,
Page 82.1,3,0.5,Mônica,Cebolinha,,,,,,,,,,,
Page 82.2,,0.5,Mônica,Cascão,,,,,,,,,,,
Page 83,4,1,Cascão,,,,,,,,,,,,
Page 84,4,1,Cascão,,,,,,,,,,,,
Page 85,4,1,Cascão,#1tmj_10 Figurante 33,#1tmj_10 Figurante 34,#1tmj_10 Figurante 35,#1tmj_10 Figurante 36,#1tmj_10 Figurante 37,#1tmj_10 Sombra 13,#1tmj_10 Sombra 14,#1tmj_10 Sombra 15,#1tmj_10 Sombra 16,#1tmj_10 Sombra 17,,
Page 86,4,1,Mônica,Cascão,,,,,,,,,,,
Page 87,4,1,Mônica,Cascão,,,,,,,,,,,
Page 88,4,1,Mônica,Cascão,,,,,,,,,,,
Page 89,4,1,Mônica,Cascão,,,,,,,,,,,
Page 90.1,4,0.5,#1tmj_10 Figurante 38,#1tmj_10 Figurante 39,#1tmj_10 Figurante 40,,,,,,,,,,
Page 90.2,4,0.5,Mônica,Cascão,,,,,,,,,,,
Page 91,4,1,Mônica,Cascão,#1tmj_10 Criança 1,#1tmj_10 Sombra 18,#1tmj_10 Sombra 19,,,,,,,,
Page 92,4,1,Mônica,Cascão,,,,,,,,,,,
Page 93.1,4,0.5,Mônica,Cascão,Sansão,,,,,,,,,,
Page 93.2,4,0.5,Mônica,Cascão,,,,,,,,,,,
Page 94,4,1,Mônica,Cascão,,,,,,,,,,,
Page 95.1,4,0.5,Mônica,Cascão,,,,,,,,,,,
Page 95.2,4,0.5,Cebolinha,Cascão,#1tmj_10 Figurante 41,,,,,,,,,,
Page 96.1,4,0.5,Magali,Cascão,,,,,,,,,,,
Page 96.2,4,0.5,Mônica,Cascão,,,,,,,,,,,
Page 97,4,1,Cascão,,,,,,,,,,,,
Page 98,4,1,Mônica,Cascão,,,,,,,,,,,
Page 99,4,1,Mônica,Cascão,,,,,,,,,,,
Page 100,4,1,Mônica,Cascão,,,,,,,,,,,
Page 101,4,1,Mônica,Cascão,,,,,,,,,,,
Page 102,4,1,Mônica,Cascão,,,,,,,,,,,
Page 103,4,1,Mônica,Cascão,,,,,,,,,,,
Page 104,4,1,Mônica,Cascão,,,,,,,,,,,
Page 105,4,1,Mônica,Cascão,,,,,,,,,,,
Page 106,4,1,Mônica,Cascão,,,,,,,,,,,
Page 107,4,1,Mônica,Cascão,,,,,,,,,,,
Page 108,4,1,Mônica,Cascão,,,,,,,,,,,
Page 109,4,1,Mônica,Cascão,,,,,,,,,,,
Page 110,4,1,Mônica,Cascão,,,,,,,,,,,
Page 111,4,1,Mônica,Cascão,,,,,,,,,,,
Page 112.1,4,0.5,Mônica,Cascão,,,,,,,,,,,
Page 112.2,4,0.5,Cascão,#1tmj_10 Figurante 42,,,,,,,,,,,
Page 113.1,4,0.5,Mônica,Cascão,,,,,,,,,,,
Page 113.2,,0.5,Mônica,Cebolinha,,,,,,,,,,,
Page 114,5,1,Mônica,,,,,,,,,,,,
Page 115.1,5,0.5,Mônica,Cebolinha,,,,,,,,,,,
Page 115.2,5,0.5,Mônica,Magali,,,,,,,,,,,
Page 116,5,1,Mônica,Cascão,,,,,,,,,,,
Page 117,5,1,Mônica,Magali,,,,,,,,,,,
Page 118,5,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 119,5,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 120,5,1,Mônica,Cebolinha,Magali,,,,,,,,,,
Page 121,5,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 122,5,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 123,5,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 124,5,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,
Page 125,,,,,,,,,,,,,,,
Page 126,,,,,,,,,,,,,,,
Page 127,,,,,,,,,,,,,,,
Page 128,,,,,,,,,,,,,,,
Page 129,,,,,,,,,,,,,,,
Page 130,,,,,,,,,,,,,,,
Page 131,,,,,,,,,,,,,,,
Page 132,,1,Do Contra,,,,,,,,,,,,
