Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15
Page 19,1,1,Mônica,Cascão,Cebolinha,gibi 10 Criança 9,gibi 10 Criança 10,gibi 10 Criança 11,gibi 10 Sombra 16,gibi 10 Sombra 17,gibi 10 Sombra 18,gibi 10 Sombra 19,gibi 10 Sombra 20,gibi 10 Sombra 21,gibi 10 Sombra 22,gibi 10 Sombra 23,gibi 10 Sombra 24
Page 20,1,1,Sansão,Cascão,Cebolinha,Mônica,gibi 10 Sombra 25,,,,,,,,,,
Page 21,1,1,Sansão,Cascão,Cebolinha,Mônica,,,,,,,,,,,
Page 22,1,1,Sansão,Cascão,Cebolinha,Mônica,gibi 10 Sombra 26,gibi 10 Sombra 27,,,,,,,,,
Page 23,1,1,Sansão,Cascão,Cebolinha,Mônica,gibi 10 Sombra 28,gibi 10 Sombra 29,gibi 10 Sombra 30,gibi 10 Sombra 31,gibi 10 Sombra 32,gibi 10 Sombra 33,,,,,
Page 24,2,1,Chico Bento,gibi 10 Criança 12,Cachorro,Giselda,Mimosa,Torresmo,Burro,Onça,Pássaro 1,Pássaro 2,Pássaro 3,Borboleta,,,
Page 25,,,,,,,,,,,,,,,,,
Page 26,3,1,Bidu,Zé Esquecido,,,,,,,,,,,,,
Page 27,3,1,Bidu,Zé Esquecido,,,,,,,,,,,,,
Page 28,3,1,Zé Esquecido,gibi 10 Criança 13,,,,,,,,,,,,,
Page 29,3,1,Zé Esquecido,Passarinho Amarelo,,,,,,,,,,,,,
Page 30,3,1,Zé Esquecido,Passarinho Amarelo,Bidu,,,,,,,,,,,,
Page 31,3,1,Zé Esquecido,Bidu,Duque,,,,,,,,,,,,
Page 32,4,1,Cranicóla,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,
Page 38,5,1,Zé Vampir,Mulher 1,,,,,,,,,,,,,
Page 39,5,1,Penadinho,Zé Vampir,Mulher 1,,,,,,,,,,,,
Page 40,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 41,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 42,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 43,5,1,Penadinho,Zé Vampir,Muminho,,,,,,,,,,,,
Page 44,5,1,Penadinho,Zé Vampir,Muminho,Frank,,,,,,,,,,,
Page 45,5,1,Frank,Penadinho,Zé Vampir,Lobi,,,,,,,,,,,
Page 46,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 47,5,1,Penadinho,Zé Caveirinha,Zé Vampir,Mulher 2,,,,,,,,,,,
Page 48,6,1,Marina,Jeremias,Tia do Jeremias,Mulher 3,,,,,,,,,,,
Page 49,6,1,Marina,Tia do Jeremias,Magali,Titi,Xaveco,,,,,,,,,,
Page 50,6,1,Magali,Titi,Xaveco,Cebolinha,,,,,,,,,,,
Page 51,6,1,Cebolinha,Humberto,Sansão,,,,,,,,,,,,
Page 52,6,1,Mônica,Sansão,Cebolinha,Tia do Jeremias,Titi,Marina,,,,,,,,,
Page 53,,,,,,,,,,,,,,,,,
Page 54,7,1,Homem 1,gibi 10 Criança 14,,,,,,,,,,,,,
Page 55,7,1,Mulher 4,Homem 2,Médico,gibi 10 Criança 15,gibi 10 Criança 16,Cachorrinho,Âncora da TV,gibi 10 Figurante 3,gibi 10 Pai 1,gibi 10 Criança 17,Dona Morte,,,,
Page 56,8,1,Cebolinha,Cascão,Seu Cebola,,,,,,,,,,,,
Page 57,8,1,Cebolinha,Cascão,Seu Cebola,,,,,,,,,,,,
Page 58,8,1,Cebolinha,Cascão,,,,,,,,,,,,,
Page 59,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,Dona Cebola,,,,,,,,,,
Page 60,8,1,Cebolinha,Cascão,Dona Cebola,,,,,,,,,,,,
Page 61,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,Dona Cebola,,,,,,,,,,
Page 62,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,,,,,,,,,,,
Page 63,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,,,,,,,,,,,
Page 64,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,,,,,,,,,,,
Page 65,8,1,Cebolinha,Cascão,Seu Cebola,Dona Cebola,,,,,,,,,,,
Page 66,9,1,Cebolinha,Xaveco,Cascão,,,,,,,,,,,,
