Page,History,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16
Page 20,1,Cebolinha,Cebolinha do Futuro,Mônica,Sansão,,,,,,,,,,,,
Page 21,1,Cebolinha,Cebolinha do Futuro,Mônica,Mãe 1 - gibi 9,Criança 12 - gibi 9,Criança 13 - gibi 9,,,,,,,,,,
Page 22,1,Cebolinha,Cebolinha do Futuro,Mônica,,,,,,,,,,,,,
Page 23,1,Cebolinha,Cebolinha do Futuro,Mônica,Mônica do Futuro,Filho do Cebolinha do Futuro,,,,,,,,,,,
Page 24,,,,,,,,,,,,,,,,,
Page 25,2,Cebolinha,,,,,,,,,,,,,,,
Page 26,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 27,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 28,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 29,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 30,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 31,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 32,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 33,2,Cebolinha,Louco,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,
Page 38,3,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 39,3,Mônica,Cebolinha,Magali,Sansão,Pássaro,Abelha 1,Abelha 2,Passarinho 1,Passarinho 2,,,,,,,
Page 40,,Piteco,Maurício de Souza,,,,,,,,,,,,,,
Page 41,4,Piteco,Thuga,Bolota,Mamute Mamu,Ratinho,,,,,,,,,,,
Page 42,4,Piteco,Mamute Mamu,Ratinho,,,,,,,,,,,,,
Page 43,4,Piteco,Dinossauro 1,Dinossauro 2,Tchako 1,,,,,,,,,,,,
Page 44,4,Piteco,Tchako 1,Tchako 2,Tchako 3,Tchako 4,,,,,,,,,,,
Page 45,4,Piteco,Tchako 1,Tchako 2,Gigante,,,,,,,,,,,,
Page 46,4,Piteco,Gigante,Tchako 1,Tchako 2,Tchako 3,,,,,,,,,,,
Page 47,4,Piteco,Gigante,Tchako 1,Tchako 2,Tchako 3,,,,,,,,,,,
Page 48,4,Piteco,Gigante,Tchako 1,Tchako 2,Tchako 3,Tchako 4,Tchako 5,Tchako 6,Tchako 7,Mamute Mamu,,,,,,
Page 49,4,Piteco,Gigante,Tchako 1,Tchako 2,Tchako 3,Tchako 4,Tchako 5,Tchako 6,Tchako 7,Tchako 8,Mamute Mamu,Alienígena,Dinossauro 3,Figurante 2 - gibi 9,Figurante 3 - gibi 9,Figurante 4 - gibi 9
Page 50,4,Piteco,Índio,Maurício de Souza,Astronauta,,,,,,,,,,,,
Page 51,,,,,,,,,,,,,,,,,
Page 52,5,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 53,5,Mônica,Cebolinha,,,,,,,,,,,,,,
Page 54,6,Penadinho,Cranicóla,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,
Page 56,7,Cascão,Anjinho,,,,,,,,,,,,,,
Page 57,8,Mônica,,,,,,,,,,,,,,,
Page 58,8,Mônica,Cebolinha,Cascão,,,,,,,,,,,,,
Page 59,8,Mônica,,,,,,,,,,,,,,,
Page 60,8,Mônica,Seu Souza,Dona Luísa,Monicão,Sansão,,,,,,,,,,,
Page 61,8,Mônica,Cascão,Cebolinha,Sansão,Carminha Frufru,,,,,,,,,,,
Page 62,8,Mônica,Magali,Carminha Frufru,,,,,,,,,,,,,
Page 63,8,Mônica,Luca,Cebolinha,Marimbondo,,,,,,,,,,,,
Page 64,8,Mônica,,,,,,,,,,,,,,,
Page 65,8,Mônica,Maurício de Souza,,,,,,,,,,,,,,
Page 66,9,Mônica,Monicão,Luca,Magali,,,,,,,,,,,,
