Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22
Page 49,2,1,Bugu,Bidu,#tdm_33 Lorde Orelhão,#tdm_33 Laika,,,,,,,,,,,,,,,,,,
Page 50,2,1,Bugu,Bidu,#tdm_33 Pirulito,#tdm_33 Paçoquinha,,,,,,,,,,,,,,,,,,
Page 51,2,1,Bugu,Bidu,#tdm_33 Paçoquinha,#tdm_33 Atropelado,#tdm_33 Farofa,#tdm_33 Condessa,#tdm_33 Filhote 1,#tdm_33 Filhote 2,#tdm_33 Filhote 3,#tdm_33 Filhote 4,#tdm_33 Filhote 5,#tdm_33 Filhote 6,,,,,,,,,,
Page 52,2,1,Bugu,Bidu,#tdm_33 Cachorro 1,#tdm_33 Cachorro 2,Cebolinha,Floquinho,Mônica,Monicão,Magali,Mingau,Franjinha,Dorinha,Cachorro da Dorinha,,,,,,,,,
Page 53,2,1,Bugu,Bidu,#tdm_33 Atropelado,#tdm_33 Paçoquinha,#tdm_33 Farofa,#tdm_33 Lorde Orelhão,#tdm_33 Condessa,#tdm_33 Filhote 1,#tdm_33 Filhote 2,#tdm_33 Filhote 3,#tdm_33 Filhote 4,#tdm_33 Figurante 8,#tdm_33 Figurante 9,#tdm_33 Figurante 10,#tdm_33 Figurante 11,#tdm_33 Figurante 12,,,,,,
Page 54,2,1,Bugu,Bidu,Manfredo,,,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,,,,
Page 56,3,1,Magali,#tdm_33 Figurante 13,#tdm_33 Figurante 14,,,,,,,,,,,,,,,,,,,
Page 57,3,1,Magali,#tdm_33 Figurante 15,Mônica,Dona Luísa,,,,,,,,,,,,,,,,,,
Page 58,4,1,Dona Morte,#tdm_33 Homem 1,#tdm_33 Homem 2,#tdm_33 Homem 3,,,,,,,,,,,,,,,,,,
Page 59,4,1,Dona Morte,#tdm_33 Homem 1,#tdm_33 Homem 2,#tdm_33 Homem 3,,,,,,,,,,,,,,,,,,
Page 60,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 62,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 63,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 64,5,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,
Page 65,5,1,Mônica,Sansão,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,
Page 66,6,1,Mônica,Sansão,Cebolinha,,,,,,,,,,,,,,,,,,,
