Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14
Page 22,3,1,Cebolinha,Sansão,Mônica,Anjinho,,,,,,,,,,
Page 23,3,1,Cebolinha,Mônica,Sansão,Anjinho,Anjinha,,,,,,,,,
Page 24,4,1,Marina,,,,,,,,,,,,,
Page 25,4,1,Marina,,,,,,,,,,,,,
Page 26,4,1,Marina,,,,,,,,,,,,,
Page 27,4,1,Marina,Sapo,,,,,,,,,,,,
Page 28,4,1,Marina,,,,,,,,,,,,,
Page 29,5,1,Rita Najura,Comadre Cigarra,,,,,,,,,,,,
Page 30,5,1,Rita Najura,Comadre Cigarra,,,,,,,,,,,,
Page 31,5,1,Rita Najura,Comadre Cigarra,,,,,,,,,,,,
Page 32,5,1,Rita Najura,Comadre Cigarra,Jotalhão,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,
Page 36,6,1,gibi 8 Figurante 7,,,,,,,,,,,,,
Page 37,6,1,gibi 8 Figurante 6,gibi 8 Figurante 8,,,,,,,,,,,,
Page 38,6,1,gibi 8 Figurante 6,gibi 8 Figurante 7,Cupido,Dona Morte,,,,,,,,,,
Page 39,,,,,,,,,,,,,,,,
Page 40,,,,,,,,,,,,,,,,
Page 41,7,1,Penadinho,Muminho,Zé Vampir,Cranicóla,Lobi,,,,,,,,,
Page 42,7,1,Penadinho,Muminho,Zé Vampir,Cranicóla,,,,,,,,,,
Page 43,7,1,Penadinho,Muminho,Zé Vampir,gibi 8 Figurante 9,gibi 8 Figurante 10,,,,,,,,,
Page 44,7,1,Muminho,Zé Vampir,Penadinho,Lobi,,,,,,,,,,
Page 45,7,1,Muminho,Zé Vampir,Penadinho,Lobi,,,,,,,,,,
Page 46,7,1,Muminho,Zé Vampir,Penadinho,,,,,,,,,,,
Page 47,7,1,Muminho,Zé Vampir,Penadinho,Lobi,,,,,,,,,,
Page 48,7,1,Muminho,Zé Vampir,Penadinho,Lobi,gibi 8 Figurante 11,gibi 8 Sombra 7,,,,,,,,
Page 49,8,1,Dona Cebola,Cebolinha,Médico,Cascão,,,,,,,,,,
Page 50,9,1,Bidu,Cachorro 1,gibi 8 Criança 22,,,,,,,,,,,
Page 51,9,1,Bidu,Cachorro 1,Cachorro 2,gibi 8 Figurante 12,gibi 8 Figurante 13,,,,,,,,,
Page 52,9,1,Bidu,Cachorro 2,Cachorro 3,gibi 8 Figurante 14,,,,,,,,,,
Page 53,9,1,Bidu,Cachorro 3,Cachorro 4,gibi 8 Figurante 15,gibi 8 Figurante 16,gibi 8 Figurante 17,gibi 8 Figurante 18,gibi 8 Figurante 19,gibi 8 Figurante 20,gibi 8 Figurante 21,gibi 8 Figurante 22,,,
Page 54,10,1,Chico Bento,Dona Cotinha,,,,,,,,,,,,
Page 55,10,1,Chico Bento,Hiro,,,,,,,,,,,,
Page 56,10,1,Chico Bento,Genesinho,Rosinha,,,,,,,,,,,
Page 57,10,1,Chico Bento,Rosinha,Dona Cotinha,,,,,,,,,,,
Page 58,,,,,,,,,,,,,,,,
Page 59,11,1,Cascão,,,,,,,,,,,,,
Page 60,12,1,Cascão,Sansão,Mônica,Menino de Pedra,,,,,,,,,,
Page 61,12,1,Cascão,Sansão,Menino de Pedra,,,,,,,,,,,
Page 62,12,1,Menino de Pedra,gibi 8 Criança 23,gibi 8 Criança 24,Cebolinha,Sansão,Mônica,,,,,,,,
Page 63,12,1,Cascão,Sansão,Mônica,Menino de Pedra,,,,,,,,,,
Page 64,12,1,Cascão,Sansão,Mônica,Menino de Pedra,Franjinha,,,,,,,,,
Page 65,12,1,Cascão,Sansão,Mônica,Menino de Pedra,Franjinha,,,,,,,,,
Page 66,13,1,Franjinha,Cebolinha,Dona Lurdinha,Bidu,Floquinho,Cascão,,,,,,,,
