Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20
Page 57,11,1,Cebolinha,Sansão,Mônica,#tdm_31 Animal 14,,,,,,,,,,,,,,,,
Page 58,12,1,Mônica,Sansão,,,,,,,,,,,,,,,,,,
Page 59,12,1,Mônica,,,,,,,,,,,,,,,,,,,
Page 60,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 61,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 62,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 63,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 64,12,1,Mônica,Monicão,,,,,,,,,,,,,,,,,,
Page 65,12,1,Mônica,Monicão,Fabinho Boa Pinta,Denise,#tdm_31 Criança 11,#tdm_31 Criança 12,#tdm_31 Criança 13,#tdm_31 Sombra 24,,,,,,,,,,,,
Page 66,13,1,Cebolinha,Mônica,Do Contra,,,,,,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,,,,,
