Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23,Character 24,Character 25,Character 26,Character 27,Character 28,Character 29,Character 30
Page 16,1,1,Cebolinha,Marina,Magali,Mônica,Nimbus,Denise,Carminha Frufru,#tdm07 Criança 4,#tdm07 Criança 5,#tdm07 Criança 6,#tdm07 Criança 7,#tdm07 Criança 8,#tdm07 Criança 9,#tdm07 Sombra 12,#tdm07 Sombra 13,,,,,,,,,,,,,,,
Page 17,1,1,Mônica,Magali,Denise,Carminha Frufru,#tdm07 Criança 10,#tdm07 Criança 11,#tdm07 Criança 12,#tdm07 Criança 13,#tdm07 Criança 14,#tdm07 Criança 15,,,,,,,,,,,,,,,,,,,,
Page 18,1,1,Mônica,Magali,Denise,Carminha Frufru,Marina,Maurício de Souza,#tdm07 Criança 16,#tdm07 Criança 17,#tdm07 Criança 18,#tdm07 Criança 19,#tdm07 Criança 20,#tdm07 Criança 21,#tdm07 Criança 22,#tdm07 Criança 23,#tdm07 Criança 24,#tdm07 Criança 25,#tdm07 Criança 26,#tdm07 Criança 27,#tdm07 Criança 28,#tdm07 Criança 29,#tdm07 Criança 30,#tdm07 Criança 31,#tdm07 Sombra 14,#tdm07 Sombra 15,#tdm07 Sombra 16,#tdm07 Sombra 17,#tdm07 Sombra 18,#tdm07 Sombra 19,#tdm07 Sombra 20,#tdm07 Sombra 21
Page 19,1,1,Mônica,Magali,Denise,Carminha Frufru,Marina,Maurício de Souza,Alice,#tdm07 Criança 30,#tdm07 Criança 29,#tdm07 Criança 28,#tdm07 Criança 27,#tdm07 Criança 26,#tdm07 Criança 25,#tdm07 Criança 24,#tdm07 Criança 23,#tdm07 Criança 22,#tdm07 Criança 21,#tdm07 Criança 20,#tdm07 Criança 19,#tdm07 Sombra 20,#tdm07 Sombra 19,#tdm07 Sombra 18,#tdm07 Sombra 17,#tdm07 Sombra 16,#tdm07 Sombra 15,,,,,
Page 20,1,1,Cascão,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 22,2,1,Magali,Cebolinha,Mônica,Sansão,Dona Lili,,,,,,,,,,,,,,,,,,,,,,,,,
Page 23,2,1,Mônica,Sansão,Cebolinha,Cascão,Dona Lurdinha,Zé Luís,,,,,,,,,,,,,,,,,,,,,,,,
Page 24,3,1,Cascão,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 25,3,1,Cascão,Magali,Maurício de Souza,Alice,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 26,4,1,Pajé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 27,4,1,Pajé,Cacique, Índia, Índio,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 28,4,1,Pajé,Cacique, Índia, Índio,Papa-Capim,,,,,,,,,,,,,,,,,,,,,,,,,
Page 29,5,1,Cascão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,5,1,Mônica,Magali,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 31,5,1,Dudu,Xaveco,Professor Spada / Doutor Spam,Anjinho, Anjo 1, Anjo 2, Anjo 3,,,,,,,,,,,,,,,,,,,,,,,
Page 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,6,1,#tdm07 Figurante 1,Mônica,Magali,#tdm07 Figurante 2,#tdm07 Sombra 22,#tdm07 Sombra 23,#tdm07 Sombra 24,#tdm07 Figurante 3,#tdm07 Figurante 4,,,,,,,,,,,,,,,,,,,,,
Page 37,6,1,#tdm07 Figurante 5,Mônica,Magali,#tdm07 Sombra 23,#tdm07 Sombra 22,#tdm07 Sombra 21,#tdm07 Sombra 25,#tdm07 Sombra 26,#tdm07 Sombra 27,#tdm07 Sombra 28,#tdm07 Figurante 6,,,,,,,,,,,,,,,,,,,
Page 38,6,1,#tdm07 Figurante 7,#tdm07 Figurante 8,#tdm07 Figurante 9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 39,6,1,#tdm07 Figurante 9,#tdm07 Figurante 10,Penadinho,Fantasma do Sultão,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,7,1,Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,7,1,Marina,#tdm07 Animal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,7,1,Marina,#tdm07 Animal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 45,7,1,Marina,Luca,Mônica,Denise,Magali,,,,,,,,,,,,,,,,,,,,,,,,,
Page 46,8,1,Cebolinha,Magali,Mônica,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,8,1,Cebolinha,Mônica,Magali, Alienígena 1, Alienígena 2, Alienígena 3, Alienígena 4, Alienígena 5, Alienígena 6,,,,,,,,,,,,,,,,,,,,,
Page 48,8,1,Astronauta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 49,8,1,Astronauta,#tdm07 Monstro 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 50,8,1,Astronauta,#tdm07 Monstro 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 51,8,1,Astronauta,#tdm07 Monstro 1,Computador do Astronauta,#tdm07 Monstro 2,#tdm07 Monstro 3,#tdm07 Monstro 4,,,,,,,,,,,,,,,,,,,,,,,,
Page 52,8,1,Astronauta,#tdm07 Monstro 2,#tdm07 Monstro 3,#tdm07 Monstro 4,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 53,8,1,Astronauta,#tdm07 Monstro 2,#tdm07 Monstro 3,#tdm07 Monstro 4,#tdm07 Monstro 5,#tdm07 Figurante 11,#tdm07 Figurante 12,,,,,,,,,,,,,,,,,,,,,,,
Page 54,8,1,Astronauta,#tdm07 Monstro 3,#tdm07 Monstro 4,#tdm07 Monstro 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 55,8,1,Astronauta,#tdm07 Monstro 3,#tdm07 Monstro 4,#tdm07 Monstro 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 56,8,1,Astronauta,#tdm07 Monstro 3,#tdm07 Monstro 4,#tdm07 Monstro 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 57,8,1,Astronauta,#tdm07 Monstro 3,#tdm07 Monstro 4,#tdm07 Monstro 2,Natalina,,,,,,,,,,,,,,,,,,,,,,,,,
Page 58,9,1,Mônica,Dona Luísa,Cebolinha,Dona Cebola,Magali,Dona Lili,Cascão,Dona Lurdinha,,,,,,,,,,,,,,,,,,,,,,
Page 59,10,1,Cebolinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 60,10,1,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 61,10,1,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 62,10,1,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 63,10,1,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 64,10,1,Cebolinha,Seu Cebola,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 65,10,1,Maurício de Souza,Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 66,11,1,Cebolinha,Louco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
