Page,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14
Page 19,Sansão,Mônica,Cebolinha,,,,,,,,,,,
Page 20,,,,,,,,,,,,,,
Page 21,Anjinho,Cebolinha,,,,,,,,,,,,
Page 22,Cebolinha,Sansão,Mônica,Anjinho,,,,,,,,,,
Page 23,Cebolinha,Mônica,Sansão,Anjinho,Anjinha,,,,,,,,,
Page 24,Marina,,,,,,,,,,,,,
Page 25,Marina,,,,,,,,,,,,,
Page 26,Marina,,,,,,,,,,,,,
Page 27,Marina,Sapo,,,,,,,,,,,,
Page 28,Marina,,,,,,,,,,,,,
Page 29,Rita Najura,Comadre Cigarra,,,,,,,,,,,,
Page 30,Rita Najura,Comadre Cigarra,,,,,,,,,,,,
Page 31,Rita Najura,Comadre Cigarra,,,,,,,,,,,,
Page 32,Rita Najura,Comadre Cigarra,Jotalhão,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,
Page 36,Figurante 7 - gibi 8,,,,,,,,,,,,,
Page 37,Figurante 6 - gibi 8,Figurante 8 - gibi 8,,,,,,,,,,,,
Page 38,Figurante 6 - gibi 8,Figurante 7 - gibi 8,Cupido,Dona Morte,,,,,,,,,,
Page 39,,,,,,,,,,,,,,
Page 40,,,,,,,,,,,,,,
Page 41,Penadinho,Muminho,Zé Vampir,Cranicóla,Lobi,,,,,,,,,
Page 42,Penadinho,Muminho,Zé Vampir,Cranicóla,,,,,,,,,,
Page 43,Penadinho,Muminho,Zé Vampir,Figurante 9 - gibi 8,Figurante 10 - gibi 8,,,,,,,,,
Page 44,Muminho,Zé Vampir,Penadinho,Lobi,,,,,,,,,,
Page 45,Muminho,Zé Vampir,Penadinho,Lobi,,,,,,,,,,
Page 46,Muminho,Zé Vampir,Penadinho,,,,,,,,,,,
Page 47,Muminho,Zé Vampir,Penadinho,Lobi,,,,,,,,,,
Page 48,Muminho,Zé Vampir,Penadinho,Lobi,Figurante 11 - gibi 8,Sombra 7 - gibi 8,,,,,,,,
Page 49,Dona Cebola,Cebolinha,Médico,Cascão,,,,,,,,,,
Page 50,Bidu,Cachorro 1,Criança 22 - gibi 8,,,,,,,,,,,
Page 51,Bidu,Cachorro 1,Cachorro 2,Figurante 12 - gibi 8,Figurante 13 - gibi 8,,,,,,,,,
Page 52,Bidu,Cachorro 2,Cachorro 3,Figurante 14 - gibi 8,,,,,,,,,,
Page 53,Bidu,Cachorro 3,Cachorro 4,Figurante 15 - gibi 8,Figurante 16 - gibi 8,Figurante 17 - gibi 8,Figurante 18 - gibi 8,Figurante 19 - gibi 8,Figurante 20 - gibi 8,Figurante 21 - gibi 8,Figurante 22 - gibi 8,,,
Page 54,Chico Bento,Dona Cotinha,,,,,,,,,,,,
Page 55,Chico Bento,Hiro,,,,,,,,,,,,
Page 56,Chico Bento,Genesinho,Rosinha,,,,,,,,,,,
Page 57,Chico Bento,Rosinha,Dona Cotinha,,,,,,,,,,,
Page 58,,,,,,,,,,,,,,
Page 59,Cascão,,,,,,,,,,,,,
Page 60,Cascão,Sansão,Mônica,Menino de Pedra,,,,,,,,,,
Page 61,Cascão,Sansão,Menino de Pedra,,,,,,,,,,,
Page 62,Menino de Pedra,Criança 23 - gibi 8,Criança 24 - gibi 8,Cebolinha,Sansão,Mônica,,,,,,,,
Page 63,Cascão,Sansão,Mônica,Menino de Pedra,,,,,,,,,,
Page 64,Cascão,Sansão,Mônica,Menino de Pedra,Franjinha,,,,,,,,,
Page 65,Cascão,Sansão,Mônica,Menino de Pedra,Franjinha,,,,,,,,,
Page 66,Franjinha,Cebolinha,Dona Lurdinha,Bidu,Floquinho,Cascão,,,,,,,,
